bigram,overall,he/him,she/her,they/them,he/they,she/they,multiple,pronoun list
**BIO_COUNT**,5444623,84145,120445,17905,9573,16282,2288,250638
of the,125138,2089,2009,277,153,227,42,4797
in the,97824,1423,1777,228,128,176,30,3762
i am,83551,1082,1406,291,106,202,36,3123
my own,80545,4096,5722,337,186,338,50,10729
are my,63782,2937,4033,230,118,249,38,7605
i love,61501,875,1492,225,110,184,28,2914
for the,57910,767,1008,123,60,78,16,2052
to be,52222,941,1187,149,113,140,22,2552
is a,52093,531,713,98,54,95,16,1507
gmail com,50608,1354,1248,282,172,260,22,3338
to the,46375,499,597,89,39,79,16,1319
just a,44381,1071,892,191,171,156,46,2527
i like,37890,1521,1527,295,168,273,43,3827
if you,35516,649,674,140,70,89,33,1655
the world,35439,442,545,64,27,68,10,1156
on the,35294,663,700,91,71,78,21,1624
lover of,35206,840,1821,115,59,117,19,2971
is the,34286,329,388,57,28,40,8,850
https //t,32468,871,622,108,58,71,18,1748
high school,31899,116,143,8,4,9,2,282
is my,31412,614,991,136,76,139,17,1973
trying to,31175,876,961,152,92,114,15,2210
and the,30366,511,573,61,30,50,10,1235
with a,30016,567,728,120,64,96,18,1593
i'm a,29358,577,598,131,56,72,25,1459
official twitter,27930,47,17,7,1,1,1,74
and i,27798,573,629,143,76,85,25,1531
husband father,27737,423,4,1,4,0,1,433
am a,27442,287,347,69,21,44,10,778
and a,26694,459,602,81,37,58,18,1255
i have,26342,581,753,122,66,104,20,1646
the best,26283,253,260,26,20,26,11,596
we are,25601,86,167,16,8,17,5,299
in a,25072,523,845,149,62,115,16,1710
opinions are,24899,1509,1792,111,62,125,10,3609
for a,24660,446,479,63,40,49,14,1091
follow me,23234,244,246,46,23,40,8,607
real estate,23085,27,37,0,1,0,0,65
all things,22481,322,574,49,20,37,7,1009
of a,22171,499,578,79,67,62,10,1295
of my,21978,515,690,72,47,77,11,1412
https //www,21873,328,259,62,28,31,12,720
father of,21157,311,5,4,6,0,2,328
here to,20892,349,517,99,45,79,9,1098
here for,20579,312,593,63,38,72,8,1086
this is,20367,429,630,109,50,98,23,1339
tweets are,20312,708,947,52,23,51,6,1787
to my,20053,260,427,65,36,53,7,848
looking for,19839,327,291,69,32,29,9,757
at the,19741,350,450,52,26,41,5,924
to make,19712,443,403,65,34,51,6,1002
fan of,19631,579,596,54,31,41,6,1307
from the,19294,266,224,36,27,34,6,593
i do,19212,547,565,145,82,113,26,1478
with the,18717,237,281,45,10,33,7,613
university of,18651,240,292,16,10,12,2,572
video games,18513,1380,790,169,108,151,24,2622
want to,18461,294,359,46,26,60,8,793
of all,18460,360,429,70,24,42,9,934
the official,18338,44,19,3,2,0,2,70
content creator,18048,454,289,84,39,72,3,941
my life,17957,195,385,39,19,36,12,686
in my,17921,308,512,74,34,60,10,998
have a,17766,338,420,77,33,49,14,931
love my,17764,130,222,29,16,20,1,418
http //www,17709,134,135,7,10,15,1,302
not a,17611,365,459,80,41,55,7,1007
me on,17500,209,268,52,31,38,8,606
you can,17097,215,325,64,31,48,12,695
love to,17078,154,193,25,19,15,4,410
http //twitch,17000,783,341,114,83,71,18,1410
for all,16978,185,306,22,16,19,3,551
life is,16758,121,257,24,14,19,3,438
i’m a,16687,255,407,71,44,59,15,851
twitter account,16531,81,59,11,4,3,2,160
be a,16070,364,469,64,30,66,9,1002
a lot,16037,700,962,148,81,139,18,2048
living in,15656,320,356,45,25,25,2,773
i can,15613,269,292,55,24,36,7,683
author of,15495,439,865,45,20,50,8,1427
views are,15007,742,1273,64,32,59,11,2181
owner of,14728,198,240,43,24,33,8,546
mom of,14531,0,676,8,0,27,4,715
all the,14482,227,421,41,31,26,7,753
sports fan,14339,217,150,2,7,3,1,380
do not,14252,403,546,154,66,88,14,1271
a good,13944,246,310,44,27,40,6,673
like to,13849,298,379,52,28,60,9,826
director of,13817,336,413,14,13,14,2,792
account for,13663,142,160,43,22,31,5,403
member of,13542,334,311,42,23,38,2,750
you are,13541,174,258,41,20,37,5,535
welcome to,13454,164,246,52,21,45,5,533
class of,13282,153,114,8,8,3,4,290
check out,13111,228,236,48,22,44,7,585
at a,12913,202,269,30,20,28,8,557
to get,12893,193,179,28,19,23,1,443
and more,12848,210,182,26,20,20,8,466
social media,12837,198,379,28,16,28,2,651
on my,12768,219,309,43,26,42,4,643
is to,12745,62,100,11,5,8,0,186
what i,12640,179,248,30,11,22,7,497
it is,12413,103,151,14,8,10,8,294
what you,12403,94,145,8,4,11,5,267
as a,12355,210,231,40,18,21,6,526
dm me,12354,227,198,65,29,40,5,564
account of,12333,106,46,11,20,10,6,199
i make,12301,616,512,147,81,114,26,1496
mother of,12197,7,398,12,1,14,0,432
founder of,12040,172,193,24,11,21,2,423
twitch affiliate,11994,784,633,121,81,135,14,1768
new york,11907,153,133,5,7,4,3,305
i don't,11812,325,329,69,35,47,16,821
i just,11812,281,362,63,36,58,6,806
i will,11807,181,251,38,25,28,8,531
married to,11801,300,385,70,21,45,14,835
of 2,11797,79,240,4,2,7,1,333
but i,11767,251,377,65,26,49,9,777
who loves,11752,235,288,36,27,30,8,624
is not,11600,146,193,23,19,19,6,406
just here,11386,163,289,47,23,43,6,571
of 3,11367,73,173,6,3,6,2,263
and my,11319,161,289,37,19,27,7,540
lives matter,11300,1306,1870,256,147,241,45,3865
to a,11286,154,266,17,11,19,4,471
i don’t,11267,178,316,46,19,40,9,608
