bigram,overall,he/him,she/her,they/them,he/they,she/they,multiple,pronoun list
my own,147.935,486.779,475.072,188.216,194.296,207.591,218.531,428.068
are my,117.147,349.04,334.842,128.456,123.263,152.93,166.084,303.426
of the,229.838,248.262,166.798,154.705,159.825,139.418,183.566,191.392
lives matter,20.754,155.208,155.258,142.977,153.557,148.016,196.678,154.206
i like,69.592,180.759,126.78,164.758,175.494,167.67,187.937,152.69
in the,179.671,169.113,147.536,127.339,133.709,108.095,131.119,150.097
black lives,19.204,144.512,153.182,133.482,144.155,143.103,192.308,148.222
opinions are,45.731,179.333,148.782,61.994,64.765,76.772,43.706,143.993
gmail com,92.95,160.913,103.616,157.498,179.672,159.686,96.154,133.18
i am,153.456,128.588,116.734,162.524,110.728,124.063,157.343,124.602
lover of,64.662,99.828,151.189,64.228,61.632,71.858,83.042,118.537
i love,112.957,103.987,123.874,125.663,114.907,113.008,122.378,116.263
video games,34.002,164.003,65.59,94.387,112.817,92.74,104.895,104.613
to be,95.915,111.831,98.551,83.217,118.04,85.985,96.154,101.82
just a,81.513,127.28,74.059,106.674,178.627,95.811,201.049,100.823
trying to,57.258,104.106,79.787,84.892,96.104,70.016,65.559,88.175
views are,27.563,88.181,105.691,35.744,33.427,36.236,48.077,87.018
pfp by,9.775,104.7,45.747,135.716,214.144,103.181,161.713,83.188
for the,106.362,91.152,83.69,68.696,62.676,47.906,69.93,81.871
a lot,29.455,83.19,79.87,82.658,84.613,85.37,78.671,81.711
is my,57.694,72.969,82.278,75.956,79.39,85.37,74.301,78.719
18 only,20.453,103.987,38.69,145.769,161.914,90.284,209.79,77.881
tweets are,37.307,84.14,78.625,29.042,24.026,31.323,26.224,71.298
twitch affiliate,22.029,93.172,52.555,67.579,84.613,82.914,61.189,70.54
icon by,6.419,72.137,42.011,162.524,151.468,96.426,187.937,69.782
https //t,59.633,103.512,51.642,60.318,60.587,43.606,78.671,69.742
in a,46.049,62.155,70.157,83.217,64.765,70.63,69.93,68.226
if you,65.231,77.129,55.959,78.19,73.122,54.662,144.231,66.031
i have,48.382,69.047,62.518,68.137,68.944,63.874,87.413,65.672
on the,64.824,78.793,58.118,50.824,74.167,47.906,91.783,64.795
with a,55.13,67.384,60.443,67.02,66.855,58.961,78.671,63.558
and i,51.056,68.097,52.223,79.866,79.39,52.205,109.266,61.084
is a,95.678,63.105,59.197,54.733,56.409,58.347,69.93,60.127
i make,22.593,73.207,42.509,82.1,84.613,70.016,113.636,59.688
i do,35.286,65.007,46.909,80.983,85.658,69.402,113.636,58.97
