bigram,overall,he/him,she/her,they/them,he/they,she/they,multiple,pronoun list
trans rights,1.864,18.681,8.329,17.378,21.296,8.567,30.482,13.164
blm acab,2.957,11.615,7.721,27.953,34.973,24.093,29.561,12.778
icon by,6.419,11.238,6.545,25.319,23.597,15.022,29.278,10.871
cat parent,0.435,4.37,4.391,61.628,21.611,29.651,10.048,10.823
chronically ill,0.775,1.227,12.106,28.826,12.13,28.529,5.64,10.657
trans woman,1.201,-10.092,18.389,1.86,0.0,14.319,25.474,10.166
header by,2.999,9.114,7.724,22.347,20.899,10.854,23.318,10.084
are human,1.482,13.392,7.619,8.291,4.934,6.217,17.695,9.503
avatar by,1.207,14.178,5.297,10.643,15.578,5.089,36.21,9.321
not spoiler,0.536,2.438,11.618,14.588,15.591,18.334,8.155,9.304
sometimes nsfw,1.163,10.525,5.283,15.848,18.862,13.202,37.58,9.126
spoiler free,0.604,2.952,10.584,15.72,15.565,18.303,7.237,9.05
age in,0.874,5.711,6.65,17.254,31.076,21.081,5.001,8.947
trans girl,1.014,-8.521,13.919,-1.814,0.0,26.651,34.482,8.814
commissions closed,1.633,5.895,6.711,19.152,18.551,19.933,0.0,8.576
rights are,1.671,11.877,7.006,8.022,4.376,5.513,13.078,8.572
pfp by,9.775,10.711,4.68,13.884,21.907,10.556,16.544,8.51
banner by,5.383,12.297,3.825,14.214,16.107,10.953,21.11,8.501
http //ko-fi,2.672,6.583,7.24,19.439,10.165,11.952,14.722,8.377
minors dni,4.114,7.886,5.247,17.241,19.298,16.123,10.624,8.282
pic by,2.129,11.834,4.485,13.641,10.794,6.635,16.423,8.096
art account,1.791,6.901,6.026,15.904,13.415,14.746,24.403,8.042
d d,6.008,11.453,5.293,9.482,8.52,6.645,8.73,7.903
dungeon master,1.688,15.207,2.754,9.264,14.233,3.639,2.589,7.895
black lives,19.204,7.525,7.977,6.951,7.507,7.452,10.014,7.718
comic artist,0.933,6.878,6.14,15.564,15.674,8.557,4.685,7.569
lives matter,20.754,7.478,7.481,6.889,7.399,7.132,9.477,7.43
commissions open,3.76,5.278,5.697,17.082,14.447,14.864,10.462,7.343
game designer,2.99,14.03,3.193,4.67,10.481,3.697,5.847,7.273
art by,2.316,7.697,5.557,10.852,13.08,8.221,7.549,7.132
the police,1.332,8.119,5.485,11.321,7.058,9.683,3.282,7.099
chaotic neutral,0.834,5.7,6.372,11.385,8.767,13.255,5.241,7.032
blacklivesmatter stopasianhate,1.087,10.167,5.5,3.597,5.766,7.345,0.0,7.011
cute things,0.795,4.036,8.772,4.918,5.255,10.815,10.995,6.926
23 -,1.019,8.514,3.911,10.962,13.327,8.438,17.157,6.734
repped by,1.49,4.068,9.528,5.248,1.402,4.946,2.934,6.721
free palestine,1.677,7.228,4.753,10.657,11.835,10.987,7.819,6.709
https //ko-fi,0.931,4.851,6.599,11.398,12.343,7.257,9.389,6.642
on main,1.152,7.944,3.675,12.121,10.881,12.795,7.588,6.615
animal crossing,1.866,3.566,8.143,6.884,4.479,9.874,9.369,6.5
do art,1.444,5.02,4.255,16.632,15.192,9.783,21.187,6.328
commissions are,1.205,4.931,4.479,13.441,12.136,15.29,10.881,6.324
game dev,2.322,9.776,3.111,10.102,8.997,6.084,7.529,6.306
no minors,7.101,7.581,3.566,10.618,17.212,6.314,16.003,6.231
carrd co,1.596,4.542,5.41,12.598,10.472,10.775,8.216,6.2
concept artist,0.905,7.222,4.22,9.257,10.388,6.787,19.318,6.128
i draw,6.377,5.423,4.609,11.999,11.958,8.668,14.393,6.044
freelance artist,1.163,3.781,5.568,10.565,14.371,10.562,3.758,5.969
on tumblr,0.83,2.864,6.602,10.094,6.293,8.88,15.798,5.817
22 -,0.913,5.858,4.547,9.788,11.441,6.727,4.788,5.769
write things,0.803,4.884,6.101,11.128,3.903,3.06,5.443,5.763
minors will,0.832,7.856,2.595,10.74,8.788,8.858,21.013,5.755
words in,1.434,3.812,8.106,1.948,2.914,4.711,0.0,5.732
opinions mine,4.318,6.578,6.287,2.716,1.21,3.414,3.037,5.72
genshin impact,1.276,3.446,6.246,5.252,5.73,12.515,13.701,5.69
chronic illness,0.65,-5.462,8.814,6.874,3.214,10.394,0.0,5.586
my art,4.685,3.932,4.555,11.802,9.588,11.274,9.329,5.536
profile pic,4.217,7.806,3.327,8.079,6.936,4.661,10.364,5.459
mentally ill,0.725,2.295,4.352,16.178,10.086,13.554,18.086,5.448
phd candidate,6.061,4.804,6.753,2.212,3.792,4.053,2.163,5.444
board games,1.715,10.879,2.953,2.28,1.218,2.507,0.0,5.444
views mine,3.253,5.334,6.253,2.404,2.569,3.021,1.344,5.274
make art,1.967,3.625,4.474,9.086,11.683,10.304,15.554,5.274
plant mom,0.935,-7.857,9.679,-1.673,0.0,7.882,0.0,5.248
18 please,1.016,4.211,3.35,13.193,12.338,8.463,25.811,5.222
asst prof,2.007,5.033,6.577,1.392,1.041,2.448,4.355,5.188
occasional writer,0.577,6.591,4.173,6.776,0.0,7.451,0.0,5.185
writer reader,1.609,2.364,7.947,3.124,1.298,4.58,0.0,5.183
nsfw account,1.835,6.736,2.579,8.522,9.677,6.025,30.963,5.153
things sometimes,0.852,5.719,3.8,8.522,8.582,3.604,25.649,5.151
phd student,7.767,4.544,6.061,4.027,3.497,3.954,2.814,5.142
trying my,1.859,4.667,4.6,7.511,5.057,8.92,4.702,5.13
eat the,1.067,4.455,4.513,9.422,6.853,6.907,8.192,5.123
cat mom,6.946,-58.37,9.18,1.528,0.0,8.046,3.146,5.078
the void,2.507,4.361,5.431,4.233,4.584,7.349,3.487,5.061
ally blm,0.735,5.012,6.438,-1.315,4.264,-1.197,0.0,5.049
amateur artist,0.784,7.125,3.495,4.274,9.327,3.917,5.575,5.038
and cute,0.898,3.837,5.455,8.086,5.816,4.104,4.867,5.02
fiction writer,1.188,5.302,5.87,2.821,1.758,2.068,0.0,5.004
draw stuff,0.674,4.938,3.203,14.088,9.3,3.645,19.454,4.972
voice actor,5.477,8.18,2.213,4.895,11.634,4.598,6.384,4.961
at gmail,0.766,6.206,3.794,5.833,9.546,4.009,0.0,4.948
games sometimes,0.621,6.697,3.61,3.597,11.775,3.957,0.0,4.947
candidate at,1.436,4.966,5.782,1.945,2.909,2.994,3.044,4.918
stuff sometimes,0.883,4.98,3.573,10.12,8.281,6.26,4.95,4.88
cat person,0.753,2.683,6.506,7.417,0.0,4.078,5.805,4.875
final fantasy,1.414,6.219,3.288,5.135,5.171,7.384,12.364,4.825
cat lady,3.357,-14.105,9.374,-1.503,0.0,3.293,1.302,4.802
oxford comma,2.165,4.007,6.634,1.29,-2.072,1.986,2.019,4.792
bad at,2.283,5.153,4.0,6.85,5.948,5.65,5.743,4.788
for commissions,1.269,4.214,4.057,8.802,4.116,8.712,3.444,4.748
