Ngram,Definition,Example
/ her,"Part of the pronoun list ""she / her"". Because of the spaces in the middle, this phrase gets split into multiple tokens",| she / her | genshin | anime | k pop | ♉︎
//t,"Part of a link beginning with ""http://t.co"", which is a shortened link to a tweet or twitter page","Charter member of Red Sox Nation, N.E. Patriots, Umass Fan. Portal 2 should have won G.o.Y.  Love Kill Confirmed. http://t.co/sMV891kEUp http://t.co/sBUlApfhCQ"
0 0,Meaning unknown. Appears in bios with large quantities of non-ASCII characters,"☆꧁༒𝐎𝐅𝐅𝐈𝐂𝐈𝐀𝐋 𝐂𝐑𝐘𝐏𝐓𝐎༒꧂☆
𝐀𝐂𝐂𝐎𝐔𝐍𝐓 𝐓𝐑𝐀𝐃𝐄𝐑
☆꧁𝗣𝗥𝗢𝗙𝗘𝗦𝗦𝗜𝗢𝗡𝗔𝗟 𝗕𝗜𝗧𝗖𝗢𝗜𝗡 𝗧𝗥𝗔𝗗𝗘𝗥꧂☆
☆1͎0͎0͎%͎ 𝗚𝗨𝗔𝗥𝗔𝗡𝗧𝗘𝗘𝗗༻𖣘
🌍𝐖"
1 of 1,A term popularized by the K-pop band Shinee signifying uniqueness,1 of 1 | she/her | utsa ‘21
1312,"A reference to ACAB, which is a acronym for All Cops Are Bastards, which is a left-wing political phrase. (A is the 1st letter of the alphabet, C is the 3rd letter, etc.)","NSFW
28, Asexual (Aego), Trans, She/Her, ADHD, 1312"
1a 2a,A reference to the 1st and 2nd Amendments to the US Constitution,"PATRIOT,FREEDOM,WOUNDED WARRIORS, WAKEUPAMERICA,1A,2A,FREEDOM MAGA!CONSTITUTION,LIVE FREE OR DIE FIGHTING,LT. USF ARMY,NRA,GOA"
1st team,"Part of the phrase ""1st team all state/conference/region/etc."",  an award for the best high school or collegiate athletes in a given region","1st Team all HotTake, (2x) National Hater of the Year. Currently leads Twitter in 0 fucks given . #DukeNation/#LakeShow 😈😈😈😈"
1st team all,"Part of the phrase ""1st team all state/conference/region/etc."",  an award for the best high school or collegiate athletes in a given region","1st Team all HotTake, (2x) National Hater of the Year. Currently leads Twitter in 0 fucks given . #DukeNation/#LakeShow 😈😈😈😈"
2d,"Part of the phrase ""2D animator"" or ""2D artist""","Freelance Motion Designer | 3D and 2D animator | Dungeon Master

profile pic by @Makowwka"
4 0,A reference to a GPA of 4.0,Nixa High School 2025 | LHP/OF | GPA 4.0 | KC Ambush 05 (#00) | Nixa Softball (#7) | 2nd Team All District | paigegaretson2025@gmail.com
4 13,"The Bible Verse ""Philippians 4:13"":",2️⃣5️⃣😎| Humble Beast🤕💯👿|Amosc~@rne_dmoney130👻| Chicago💥🔥🌆| R.I.P all my brothers 🙏🏾🙏🏾💯| Philippians 4:13🙏🏾| Bag Chaser🚦💰
a call,"Most often: ""give me a call"" or ""give us a call"". Most frequently appears alongside corporate or organization accounts","Exclusive Nebraska Dealership of @celebritygreens ⛳️ PGA Caliber Golf Greens, Lawns, and Pet Areas. Give us a call...we'll put a green in for ya."
a mi,"Spanish for ""to my"". Here, ""bienvenidos a mi p�gina"" means ""Welcome to my page""","hola chicos bienvenidos a mi página espero tener mucho seguidores nuevos, nose olviden dar like y comentar estaré subiendo más contenidos, WhatsApp
917 214 9086"
acnh,"Short for ""Animal Crossing: New Horizons"", a video game",she/her/25 - Crochet 🧶 Cross-Stitch 🪡 ACNH 🌲 Pokemon 🐛 Waterparks ❤💛💙 & more 😅
actuallyautistic,"Part of ""#actuallyautistic"", a hashtag used by autistic people to emphasize the need to include autistic people in conversations about autsti people","He/Him, Autistic, ADHD, 22yo, cartoonist
hi im daniel and uhhhh i like food and sleep
@Faithy_prism is my gf

#ActuallyAutistic"
age in,"Part of ""age in bio""",| 19 | she/her | writer | 🔞✨NSFW✨🔞 content | age in bio | taking requests for any ship you have in mind |
all american,"Most often used as part of the phrase ""all American girl"" or in the context of sports (i.e. first team all American)",All American Smile🤘Personal Blog 💪Car Culture Gang 🤝 All Car Lover Should Be FRIENDS 👌 Let's Follow Each Other 🚘 Maknpower 🚗 Follow My Journey
all opinions my,"Part of phrase ""all opinions my own""",Public health communication researcher. Environmental health faculty. Theatre devotee. Mom. Spouse. All opinions my own. RTs are not endorsements. She/her.
all views my,"Part of phrase ""all views my own""","Health, Wellness, and Memes. Founder of The Ocho System™ Exercise Snacks™ Plant Based Gang™ @Nike @gqmagazine @hyperice #UPenn All Views My Own"
amante de la,"A spanish phrase for ""X lover"" (i.e. ""amante de la vida"" translates to ""lover of life"")","Amante de la Vida, de Dios, de my esposa y de toda mi familia. y activo al 100% por cambiar la realidad de mi pais. 😁😉
http://tiktok.com/@nahumagic"
america first,A right-wing political phrase associated with Donald Trump,"America First. 
Patriot. Realist. 
#MAGA #KAG. 
Pro 2A. 
Pro LEO.
Pro Military.
 
Anti-MSM. 
Anti-Deep State.

I follow back all patriots."
an independent,"Used in a variety of phrases, most often ""independent thinker"" or ""independent company""","#AntiTrumpism
#AntiGOP #IndictTrump
I was an Independent...Trump made me a Democrat forever.
The GOP is KOMPROMAT!!
#FBRP


100% Follow Back to Resistors!"
and surrounding,"Part of a corporate or brand account as part of the phrase ""and surrouunding areas"" or ""and surrounding communities""",Providing real time weather data for Horseshoe Beach and surrounding communities as part of the Florida Severe Weather Network.
ao3,A website where people can write or read fan fiction,"Ray, She/Her ~ Kaeluc NO SWITCH ~ 25⬆️ ~ Pfp @noranb_ ~ Antis dni ~ Ao3 Profile in Link ~ 🔞 Minors Do Not Follow"
aquarius,An astrological sign for people born between mid-January and mid-February,#724 #412 #PA #WashHighAlumni #300 #OTF #FatDreadHead #Aquarius ♒✌&♡ 🐊 Major Bag 💰 #HEAVY 💧 ™
are human,"Most often part of ""trans rights are human rights"" or ""women's rights are human rights"", both left-wing political phrases","Retired Registered Representative. LCMS. Women's rights are Human rights.
Independent. Women's March 2017. The fight against Fascism & Oppression continues."
are human rights,"Most often part of ""trans rights are human rights"" or ""women's rights are human rights"", both left-wing political phrases","Retired Registered Representative. LCMS. Women's rights are Human rights.
Independent. Women's March 2017. The fight against Fascism & Oppression continues."
avatar by,A reference to the user's Twitter avatar,Webcomic lover and artist enthusiast. Cis she/her Avatar by @MrLovenstein
aws,"Short for ""amazon web service"", a popular cloud computing platform","Oracle Database Administration Services, APEX Development and Administration, APEX Hosting on AWS and Oracle Cloud, Cloud Administration, Training & Mentoring"
back the blue,A right-wing political phrase expressing support for the police,"Army wife, MAGA, Back the Blue, Conservative. 100% Made in America."
bangtan,"Part of the full name of BTS, a popular Korean pop group","SEOULMATES (9/20/22 - Inkyard Press) | Kdrama, Kpop, Bangtan | #kimchingoos | rep @tayhaggerty | meet me on IG | buy links: https://linktr.ee/susanleewrites"
banner by,A reference to the user's Twitter banner,Ultimate Social Butterfly🌻 | Multi-Media | banner by lovely @muryangart | 23 | click for work! http://ko-fi.com/jennifrre | etsy seller & w101 artist
bbw,"An acronym for ""big beautiful woman""",I am a BBW submissive/slave who loves and embraces her body and freakiness. I love pleasing and fulfilling your every kink and desire. you say and I obey.
blm,"An acronym for ""black lives matter"", a left-wing political phrase associated with protests against police brutality","Married,Love Christ,Hubby, Children,Grands, Country #TheResistance 
#GetVaccinated #VoteBlue #VoteThemOut
#FBR
#GunControlNow
#BLM
#LoveIsLove🌈
#drcole"
blm acab,"Acronyms for ""black lives matter"" and ""all cops are bastards"", left-wing political phrases associated with protests against police brutality","she/they BLM ACAB ABAC 🏴🏳️‍🌈🇲🇽often I’m really sad, but always I am fat & disabled 🥄 Ⓐ"
boi,"Similar to ""dude""",she/her🦊fursuits @foxfloofstudio 💜Taken by a cute deer💜Rad Tech student @ UIowa 🦔header: @lokahipanda icon: @atty_boi
brandon,"Either a reference to a person named Brandon or part of the phrase ""Let's Go Brandon!"", a right-wing political phrase that is a euphemism for ""Fuck Joe Biden""",| 22 | Deliver for @DoorDash | Business Email: brandon.adelkraus@gmail.com
braves,"A reference to the Atlanta Braves, a MLB Team",Husband/Father/IT Director. Defender of all things @AuburnTigers. Crane kicker of @JesseNewell. Diehard fan of World Champion @Braves
bts,A popular Korean-pop group,"●BTS Army●Don't underestimate me because I'm quiet. I know more then I say, think more then I speak, and observe more then you know.● #LetBTSRest ● 20 years old"
bts army,The fandom for Korean pop group BTS,"●BTS Army●Don't underestimate me because I'm quiet. I know more then I say, think more then I speak, and observe more then you know.● #LetBTSRest ● 20 years old"
bts twt,"Part of ""bts_twt"", the Twitter handle for bts",🇺🇸BTSxNC💜Chart Bully™ ARMY She/Her #AFBF - 1365244 #BorahaeBitch💜 2x Grammy nominated @bts_twt 🐨🐹🐱🐿🐥🐯🐰˙८ 🐳LY9/29/18💜SY5/19/19💜 MOTS75/27/20😩
c a,No clear pattern of meaning. Most often either used when a word is spelled out with spaces between each letter or when a word includes non-ASCII characters which leads to the first and last chunks of the word split into different tokens,Belgian Software Engineer @ Hyland | Nuxeo - A Walloon in C̵a̵l̵i̵f̵o̵r̵n̵i̵a̵ Nevada
cancer,"Most often, as part of the phrase ""cancer survivor"" or similar phrases. Also used to indicate an astrological sign","Wife,
Mom, Cancer Survivor, Miami Dolphins fan(win or lose!), Independent Scentsy Consultant 
https://ElizabethAnne.scentsy.us"
champions,A reference to various sporting events,"@eccavs amateur baseball team from Eau Claire, WI. that started in 1971 &  2021 Chippewa River Baseball League's North Division Champions."
cis,"Most often, to signify that one is cisgender (i.e. not transgender)","Custom Basketball Highlight Reels // No film required from most NCAA D1, NBADL, Overseas, and CIS players. Direct message for inquiries and orders."
coach -,"Part of phrase ""Coach - *School Name*""",Head Varsity Baseball Coach - Sierra High School (Manteca) - ABCA Rules Committee Region 8
critter,"A slang term for someone watches Critical Role, a web-series about the tabletop role playing game Dungeons and Dragons","💜Twitch Partner: https://t.co/JxbHMGXfbs
🎬Youtube Partner: https://t.co/a4jlK0QrXq
💌Business Email: risshellatwitch@gmail.com
✿she/her✿ #critter ✿neurodivergent✿"
d a,"Mot often, the Spanish word for ""day"", ""d�a"", is split into ""d a""",Ceo and Producer for Titan and L.D.A Productions Photographer and music producer
d d,"""D&D"", short for dungeons and dragons","aka Arc! ♀️dog or ♂️hyena! 30 and flirty. d&d, gacha games, language learning, magical girls, metal. EN/日本語. biromantic ace, she/her, @KeruFaye is kerubae"
de los,"Spanish for ""of the"" (i.e. ""Cuenta de los Fans de Novak"" directly translates to ""Account of Novak Fans"" or ""Novak Fans Account"")",Cuenta de los Fans de Novak en 🇺🇸🇮🇹🇪🇨 publicando sus logros y defendiendo con argumentos al gran Nole 🇷🇸 solo buenas vibras 🔥
demisexual,A sexual orientation where a person can not experience attraction until developing an emotional bond with someone ,"Male, professional.
Demisexual sapiophile.
Enjoys a good spanking.
Hoping Musk can free Twitter.
#UltraMAGA #AllLivesMatter #AmericaFirst"
dl,"Short for ""down low"", a slang term for a man who publicly identifies as straight while secretly being gay",Dmv Top looking for DL bros Dm me for custom vids $ 🥵
do your own,"Most often as part of the phrase ""do your own research"" or ""do your own due diligence""",I am not your Financial Advisor do your own DD
dom,A slang word for being dominant sexually,"Creator/Owner of The Heffs Lifestyle, Black Heffs™/ Pink Heffs™ sexual vitamins, The Sensual Art of Impact Play Seminar, & Sensual Pro Dom."
enby,An abbreviation for nonbinary,"Hoosk/Dobie/nerd/artist/pc gamer

Fursuiter (and maker) , musician, VA, singer, goof. 

🔞18+ only🔞 (occ. Horny
 posting).

31, Enby (they/he) Queer"
estate,"Part of the phrase ""real estate""","Somers, NY HamletHub is making #Somers better, one local story at a time. Hyper #local News, People, Events, Real Estate, & Business. Share your story today!"
feed of,"Part of the phrase ""Twitter feed of"" or ""Official feed of""","Official feed of Regis Jesuit High School's hockey team. State Champs: '08, '09, '12, '16, '18, '19. Nat'l Champs '12, '15; Runner-Up '13, '18; Semifinalist '19"
fighting games,A reference to fighting video games,I play fighting games and love sports. Hot blooded robot pilot. Newtype 👀⚡ he/they
for bts,"Part of the phrase ""here for BTS"", a reference to the K-pop group BTS","ㅡ 🤍 for bts, enhypen, txt"
ftm,"Short for ""female to male"", a phrase used to describe transgender men","NYC AREA SC: Jboss_93 for pics 🐽 😈 INTO: FTM Bros in the NYC AREA, women, Vagina, BWC, KINKS, Bubble Butt white dudes etc. I’m Freaky AF"
furry,Someone who identifies with antrhopomorphic animals,Furry writer who posts mostly to SoFurry.  Come check out my stories at https://firefromheaven.sofurry.com/stories
gaymer,A gay gamer,"18+ Only!
Cub, Gaymer, Teddy.
Call me what you will.
Enjoy my art, while I enjoy myself!"
genshin,"A reference to ""Genshin Impact"", a role-playing game","hihi this is a side account for writing Genshin aus :3 (main: @kitrixs)
replacement cc in website"
go brandon,"Part of the phrase ""Let's Go Brandon!"", a right-wing political phrase that is a euphemism for ""Fuck Joe Biden""",Space. let's go Brandon.
got7,A K-opo (Korean pop) group,"Like Asian Culture
Abortion=excuse for worthless lifestyle.  I LOVE Christ, Family&Animals.
Appreciate EXO, NCT, GOT7, BigBang, 2PM & others
#MAGA #TRUMP2020"
halo,A first-person shooter video game,"lifelong gamer, sneakerhead, 20yr Halo player Twitch Affiliate | LIVE everyday on Twitch w/ variety | check out my other socials here http://linktr.ee/ikatz_"
harry styles,A popular singer formerly of the boy band One Direction,i write music & talk too much about Harry Styles
header by,A reference to the user's Twitter header,hi! just a guy from Texas who wears diapers. feel free to chat whenever. 26Y/O  (header by Someboondoggle) (profile pic by Kurikia)
http //ko-fi,"Part of a link beginning with ""http://ko-fi"", a site where people can donate to or subscribe to artists",Ultimate Social Butterfly🌻 | Multi-Media | banner by lovely @muryangart | 23 | click for work! http://ko-fi.com/jennifrre | etsy seller & w101 artist
i l,"No clear pattern of meaning. Most often used in an acronym of sorts (i.e. ""I.L.A."")",I.L.L.I.C.H
i like video,"Part of the phrase ""I like video games""",Hi I kaiden and I like video games
icon by,A reference to the user's Twitter icon,"“Play Final Fantasy IX”. FFXIV: Deora Ke'tano @ Adamantoise, Neco Arc @ Bismarck. mostly FFXIV/Pokémon/Marvel 2 ramblings. icon by @iruiru_popopo they/them"
ig,Short for instagram. Commonly used when a user includes their Twitter username,"BlueDiam💎nd 
Female RAPPER 🎤 🎧💰
Oakland Cali ✈AZ
I 😍❤ MUSIC 🎵🎶
Album coming soon 💽
Bestie: rodejah 💙
 SC: @niecey2prettie 
IG: @official_bluediamond"
infp,One of 16 possible  results from the Myers-Briggs Personality test,Midwest musings. Champion parallel parker. Social worker. Underdog supporter. Butterscotch enthusiast. INFP. Pop culture nerd. Pet rescuer. Bleeding ❤️ liberal.
intersectional,"Usually used as part of the phrase ""intersectional feminist""","Sassy yet classy. Writer, editor, historian, election nerd, co-parent, art lover, chicken lady, intersectional feminist, human. Work in progress always. #Binder"
into the void,"Usually used as part of ""shouting into the void"", ""speaking into the void"", or another phrase with a similar meaning","I'm just a disappointed, frustrated, angry nerd screaming into the void tbh."
is to help,"Usually part of the phrase ""Our mission is to help"", ""my goal is to help"", or another similar phrase",“Our mission and purpose is to help make prescriptions drugs more affordable for every American by giving them our discount program absolutely free.”
it happen,"Often used as part of phrase ""make it happen"" or ""making It happen""",Don't watch happen make it happen #️⃣5️⃣🏈
lakers,"The Los Angeles Lakers, a NBA team",im a die hard bama fan lakers  fan and cowboys fan  a cowboys fan 4life and im a huge texas rangers fan
lefty,A reference to being left handed,"Agatha, Lefty, Macavity, Anthony nominated. Suspense Mag Crimson Scribe & GANYC Apple Award winner Repped by Michelle Richter | Fuse Literary. Advocate she/her"
