token,overall,he/him,she/her,they/them,he/they,she/they,multiple,pronoun list
and,1870.133,2597.183,1948.441,2168.668,2265.747,1755.927,3173.077,2192.764
of,1423.733,1812.823,1540.703,1266.685,1261.882,1131.925,1494.755,1574.861
i,996.411,1559.213,1313.878,1572.187,1579.442,1424.272,1840.035,1436.813
the,1527.693,1502.407,1256.341,1160.011,1129.218,1025.058,1359.266,1313.129
a,1230.605,1414.82,1235.751,1343.759,1402.904,1171.846,1691.434,1309.977
my,782.343,1256.759,1259.579,1030.438,985.062,1025.058,1057.692,1214.7
to,1131.647,1140.531,1001.37,979.056,975.661,886.869,1140.734,1039.348
in,885.894,961.911,910.457,764.591,770.918,737.01,869.755,900.342
for,841.23,941.708,765.827,765.149,809.569,638.742,926.573,819.708
are,346.985,691.188,593.964,396.537,409.485,369.733,541.958,590.413
is,619.501,587.32,533.272,566.881,564.086,526.348,917.832,558.056
on,465.524,645.909,481.049,522.201,560.953,501.781,729.895,546.007
by,225.314,559.273,378.43,700.922,752.115,499.324,874.126,488.832
at,345.614,601.343,425.339,321.698,353.076,292.962,371.503,465.173
writer,137.782,420.108,515.92,402.122,331.14,406.584,410.839,460.505
own,176.987,517.797,500.062,209.439,221.456,222.946,231.643,454.161
artist,155.677,381.96,385.902,791.958,717.643,707.53,773.601,450.69
blm,73.728,439.361,453.983,423.904,514.99,469.844,498.252,450.69
me,400.176,439.479,398.937,553.477,495.143,481.513,681.818,435.209
-,283.489,499.02,338.91,493.158,569.31,383.859,611.888,417.894
18,113.411,456.236,255.054,646.188,789.721,507.309,668.706,391.122
with,392.802,404.896,388.061,374.197,339.497,358.064,528.846,390.204
all,353.725,386.0,389.721,316.671,278.909,265.938,397.727,371.053
you,424.803,377.8,358.587,393.186,370.835,331.04,480.769,367.303
not,285.73,404.421,340.819,366.937,336.363,309.544,428.322,362.635
just,301.354,409.888,307.941,398.213,459.626,351.308,520.105,359.163
fan,255.485,397.528,315.829,185.982,193.252,182.41,279.72,320.303
be,276.192,351.893,301.216,296.565,346.809,298.489,319.056,319.624
love,356.313,277.735,353.439,279.252,268.463,292.962,345.28,315.475
art,100.358,278.21,262.028,532.812,508.722,463.088,594.406,312.323
http,269.664,414.879,236.373,333.426,343.675,260.41,336.538,309.809
enthusiast,128.428,332.878,294.74,264.731,264.285,241.985,244.755,300.353
lover,176.201,244.815,364.565,145.769,155.646,191.623,157.343,287.626
mom,168.272,11.528,548.715,59.76,14.624,208.82,96.154,286.828
like,178.141,325.866,249.574,291.539,319.649,292.347,349.65,284.554
opinions,89.424,349.516,285.441,135.158,126.397,151.087,122.378,279.926
about,156.123,291.164,285.275,242.39,230.858,213.733,183.566,276.534
