token,overall,he/him,she/her,they/them,he/they,she/they,multiple,pronoun list
ttrpgs,1.063,17.329,6.951,15.762,19.654,11.556,16.447,11.936
polyam,1.57,6.51,9.043,31.661,30.606,22.689,30.622,11.715
acab,8.62,10.561,7.147,23.714,27.145,19.095,21.802,11.15
cis,2.213,16.916,9.117,2.524,4.248,4.163,19.75,10.854
asexual,1.958,7.891,8.014,23.96,19.74,17.879,42.412,10.514
1312,1.076,9.167,6.404,22.32,34.95,17.124,28.433,10.456
nonbinary,3.345,1.386,1.092,88.826,31.854,20.564,53.571,10.377
ttrpg,2.557,15.105,5.78,12.45,19.609,10.569,10.256,10.267
ao3,1.155,2.881,13.874,17.408,4.522,13.294,18.92,10.087
critter,1.378,11.988,8.857,9.727,9.097,9.806,12.687,10.076
queer,20.822,5.131,6.822,33.394,23.128,22.211,21.62,9.91
demisexual,1.328,7.785,8.252,14.72,18.092,18.037,26.329,9.734
non-binary,5.069,1.102,-1.299,83.957,29.675,19.871,52.596,9.642
neurodivergent,2.814,5.11,8.527,21.237,17.447,21.389,15.532,9.528
pan,7.918,7.895,6.543,17.14,23.483,19.392,25.391,9.408
agender,1.141,1.354,-1.057,92.024,23.804,11.304,30.644,9.407
trans,18.493,6.915,9.118,12.352,16.494,12.952,25.052,9.286
actuallyautistic,1.855,8.585,6.669,17.764,11.263,20.528,16.493,9.27
enby,2.235,1.17,1.449,67.22,30.847,26.93,39.111,9.176
icon,12.41,9.461,5.586,20.162,21.885,12.373,21.131,9.134
nb,3.218,1.736,1.342,61.092,46.095,21.376,40.745,9.113
chronically,1.44,3.301,9.398,21.332,13.058,19.619,12.141,9.033
translivesmatter,1.052,11.974,6.945,8.494,13.901,6.422,8.309,8.989
infp-t,1.06,6.278,8.616,11.592,15.768,16.224,20.616,8.921
intersectional,1.71,2.571,13.012,11.758,2.443,11.853,10.224,8.913
adhd,7.336,7.322,7.537,12.942,12.673,15.405,11.916,8.599
goblin,1.787,5.985,7.016,20.002,14.614,15.81,19.566,8.574
ko-fi,1.005,6.385,7.765,15.005,14.551,14.056,13.047,8.535
ffxiv,6.241,9.083,6.106,13.155,14.06,12.104,18.208,8.413
spoonie,1.192,1.196,12.258,10.777,6.134,13.397,7.333,8.234
gremlin,1.115,3.624,7.148,20.036,19.674,19.279,15.68,8.23
30s,1.374,5.536,8.218,15.446,6.842,13.41,15.905,8.189
lesbian,8.563,-3.002,10.365,16.828,4.392,23.669,18.885,8.172
demi,1.532,6.051,7.099,10.937,21.819,14.432,17.117,8.151
pfp,20.868,9.881,4.567,13.837,20.624,10.801,12.776,8.107
fanfic,1.205,3.649,10.955,8.343,3.467,10.194,21.763,8.079
multifandom,2.369,3.211,9.603,9.902,11.905,17.37,7.38,8.05
//ko-fi,3.622,6.267,7.083,17.27,10.671,10.683,13.274,7.964
ace,6.287,5.387,6.801,18.122,9.803,15.24,17.38,7.895
dnd,3.537,10.181,4.835,12.316,12.995,10.245,8.65,7.862
ocs,1.378,5.692,5.904,21.075,9.097,16.491,19.03,7.846
autistic,7.495,7.421,4.619,20.641,17.7,12.128,20.993,7.841
leftist,6.371,11.304,4.287,11.046,14.757,7.037,15.778,7.809
header,8.063,7.384,5.911,14.131,18.008,9.75,15.72,7.794
dni,7.94,6.9,5.092,16.6,19.208,15.006,10.459,7.754
acnh,1.49,1.834,11.033,8.246,6.309,14.015,8.8,7.739
abolish,1.985,7.544,7.278,10.692,3.684,9.282,6.606,7.598
pansexual,7.63,6.075,5.136,16.323,14.923,15.133,32.078,7.52
anxious,1.98,5.342,8.596,8.18,12.134,7.444,4.415,7.496
banner,12.208,10.689,3.639,11.757,16.001,8.301,13.605,7.452
fandoms,1.394,3.325,9.41,10.818,5.245,11.456,9.406,7.442
fursuit,1.22,7.598,4.152,17.854,17.981,12.082,14.33,7.424
tabletop,2.423,13.832,3.015,9.451,9.054,3.042,9.019,7.393
infp,3.211,4.812,8.584,7.131,8.784,11.668,4.083,7.381
polyamorous,1.475,6.123,4.953,19.689,14.873,8.744,38.521,7.33
liner,1.308,-1.375,13.456,2.562,0.0,4.696,3.342,7.229
chaotic,4.696,4.909,6.418,13.558,10.455,14.517,11.169,7.145
priv,3.227,6.445,4.786,13.846,20.394,12.942,4.063,7.109
rep'd,1.146,2.696,11.954,1.949,1.823,3.751,0.0,7.102
dungeon,2.27,12.931,2.963,8.611,12.425,3.517,1.926,7.101
sfw,5.391,8.112,3.465,14.815,19.377,10.367,24.322,7.083
fursuiter,1.205,9.468,3.1,12.051,17.338,8.155,29.017,6.987
antifascist,1.355,9.034,4.044,12.365,14.647,7.252,6.451,6.949
mdni,4.698,9.157,4.153,8.678,14.453,8.759,6.512,6.871
lgbtqia,3.185,5.522,7.273,8.417,5.904,7.135,19.212,6.815
minors,15.077,7.52,4.07,13.113,16.767,9.532,14.784,6.812
bi,30.123,6.884,5.931,6.341,11.132,10.215,10.737,6.801
bisexual,12.295,5.713,6.186,7.722,10.62,11.589,15.641,6.743
cosplayer,7.18,3.228,7.077,12.29,10.33,13.002,13.392,6.724
abolitionist,1.793,5.634,5.973,13.083,6.991,11.646,0.0,6.72
witch,7.442,1.469,8.568,9.681,7.72,15.185,10.571,6.68
femme,1.721,-1.034,6.464,21.418,1.214,22.84,12.698,6.607
speedrunner,1.51,13.773,1.705,6.658,8.301,5.694,0.0,6.606
furry,12.726,10.16,2.264,10.138,18.059,6.901,23.697,6.578
asd,1.095,6.62,4.626,11.221,10.494,11.218,11.974,6.486
witchy,1.144,1.142,9.072,8.3,3.652,14.496,3.821,6.452
repped,1.611,3.91,9.174,4.854,1.297,4.575,2.713,6.439
commissions,11.217,4.916,5.026,14.091,11.548,12.593,8.182,6.406
commie,1.005,8.869,2.809,13.337,15.591,7.333,4.349,6.392
poly,5.28,5.717,4.057,13.222,16.025,12.912,12.416,6.378
fanart,1.403,4.15,5.799,12.341,5.212,14.446,15.576,6.341
avatar,2.845,9.065,3.794,7.656,10.648,4.749,19.971,6.311
spoiler,1.019,2.333,7.414,10.414,10.251,12.055,4.289,6.304
fandom,3.346,2.699,7.618,10.015,5.932,11.197,5.225,6.284
enfp,1.647,4.33,7.511,5.087,8.245,6.712,7.961,6.25
tpwk,2.041,-2.453,11.837,-1.218,0.0,5.116,2.142,6.236
genshin,4.197,3.568,6.37,8.65,8.96,13.902,10.414,6.217
stopasianhate,3.323,7.367,5.422,5.042,7.859,6.099,7.892,6.207
poc,1.131,5.884,4.184,7.408,23.09,9.232,19.322,6.173
mtg,3.06,12.661,1.981,5.658,6.486,2.609,9.998,6.115
blm,73.728,5.959,6.158,5.75,6.985,6.373,6.758,6.113
carrd,4.039,3.943,5.797,11.477,10.604,10.036,10.821,6.085
firstgen,1.506,5.129,8.27,1.855,2.081,2.447,0.0,6.067
feminist,15.68,2.046,9.775,3.277,-1.072,5.053,7.526,6.051
ecologist,1.337,6.311,7.39,-1.197,1.562,3.675,0.0,6.028
anarchist,2.162,5.937,3.072,16.275,17.394,9.091,10.108,5.979
ult,1.062,3.245,8.053,5.785,4.918,5.783,0.0,5.936
ally,11.408,6.667,7.3,-1.571,1.19,1.077,2.682,5.932
feminism,1.407,1.774,9.618,3.176,1.485,5.674,6.213,5.927
infj,4.36,3.08,7.884,4.74,6.948,6.761,5.012,5.911
goth,3.185,2.687,6.386,11.047,5.576,12.534,10.978,5.888
latinx,2.145,4.432,4.258,16.404,12.175,10.594,0.0,5.859
ecology,2.254,5.958,6.741,3.221,1.39,3.542,3.878,5.788
lvl,4.762,5.441,4.254,11.494,10.749,8.77,9.178,5.756
hufflepuff,2.006,2.903,8.526,2.506,3.645,4.593,4.357,5.728
rpgs,1.818,8.955,3.197,8.602,9.194,1.689,12.02,5.728
haver,1.401,6.362,4.03,9.966,5.965,9.206,12.479,5.724
genderfluid,2.239,1.539,1.075,31.43,20.528,15.361,72.226,5.72
anti-racist,1.974,6.081,6.183,3.961,2.117,4.045,8.857,5.72
anti-fascist,2.024,8.573,3.856,4.691,10.322,3.641,2.16,5.716
mfa,3.078,4.016,6.905,5.625,6.448,5.388,2.84,5.69
dice,1.693,5.265,5.64,6.928,5.553,6.892,5.163,5.679
moots,1.06,3.363,5.875,5.269,11.825,12.747,4.124,5.646
socialist,6.528,8.629,3.078,6.759,10.081,4.046,11.382,5.611
draws,2.222,6.258,3.475,8.295,11.283,9.398,19.67,5.584
cops,1.159,6.46,3.367,12.047,11.717,5.829,11.313,5.577
minor,5.782,4.974,4.279,7.727,13.189,10.835,7.559,5.555
palestine,2.29,6.176,3.879,8.048,9.123,9.387,5.726,5.523
ot7,5.763,-5.386,10.43,2.132,-2.759,2.984,3.034,5.462
pagan,2.439,3.508,5.038,9.389,8.994,10.828,14.336,5.447
spooky,2.564,4.032,5.926,7.842,2.852,7.665,5.114,5.415
crossing,2.325,3.067,6.749,5.765,3.594,7.925,7.52,5.406
repost,2.957,3.376,4.913,11.144,10.598,8.931,11.824,5.383
archivist,1.047,3.86,6.423,5.868,-1.002,7.039,8.349,5.373
postdoc,4.07,5.928,6.487,1.098,1.283,1.509,2.148,5.352
linguistics,1.076,5.412,4.63,7.267,8.737,5.708,8.124,5.339
perpetually,1.951,5.056,4.979,7.157,5.354,6.926,8.961,5.337
disaster,3.128,3.115,5.309,8.035,9.685,10.799,9.781,5.332
feral,1.141,1.666,5.894,13.216,5.493,10.766,7.661,5.316
barista,1.427,4.497,3.957,12.133,6.588,10.329,12.252,5.313
enneagram,1.045,4.322,7.389,1.604,0.0,2.939,0.0,5.307
fangirl,3.53,-9.888,10.02,-1.58,-3.378,5.393,2.476,5.278
zelda,1.535,6.891,4.327,4.366,4.764,4.801,8.542,5.276
illustrator,12.054,3.855,5.028,8.711,6.586,9.426,7.977,5.269
gamedev,1.109,9.537,2.92,3.526,4.71,2.769,3.941,5.252
blacklivesmatter,38.045,5.816,5.331,3.817,4.173,4.133,3.446,5.247
knitter,2.79,-1.957,9.642,2.803,-2.67,2.862,3.133,5.234
intp,1.44,4.787,4.958,5.042,5.078,8.957,9.106,5.209
closed,5.56,3.505,4.39,11.15,10.521,10.383,4.717,5.203
skz,1.069,-1.8,8.0,4.18,-1.023,11.491,8.177,5.188
communist,2.384,7.228,2.229,11.948,13.583,4.122,3.667,5.172
name's,1.227,5.812,2.707,9.559,15.324,7.509,14.249,5.138
smol,1.161,4.504,3.861,8.659,13.496,6.348,22.587,5.121
neutral,2.109,4.846,4.449,6.885,6.439,8.736,4.145,5.108
puns,2.581,6.4,4.664,3.462,3.238,4.759,3.387,5.101
freepalestine,3.154,5.652,4.422,5.49,8.28,5.258,1.386,5.085
swiftie,3.124,3.424,7.282,1.788,1.003,3.735,1.399,5.07
shitposter,1.591,7.918,2.348,4.564,13.131,6.177,5.494,5.065
exhausted,1.317,3.248,5.674,7.21,4.759,8.394,0.0,5.059
vtuber,3.885,4.742,4.274,7.763,8.335,6.166,12.375,5.032
abdl,1.198,7.738,1.594,6.527,17.439,5.639,18.241,5.029
pronouns,25.001,4.264,4.231,10.723,7.73,4.815,20.629,5.027
dumbass,2.228,6.241,2.571,10.779,14.535,5.237,1.962,5.014
dork,3.01,6.633,3.779,5.01,7.635,3.673,8.712,5.011
draw,12.98,4.596,3.979,8.95,8.933,7.24,11.112,5.007
musicals,1.006,2.599,6.932,5.552,4.153,3.053,4.345,4.997
illustration,2.268,3.616,4.722,7.142,5.988,10.832,7.709,4.996
ssbu,1.436,10.262,1.214,3.501,13.821,1.711,6.087,4.974
lg,1.433,1.907,6.2,4.677,4.374,12.429,3.05,4.956
gaymer,4.004,10.002,1.057,4.324,12.262,3.528,4.366,4.913
cozy,1.385,-1.294,7.134,6.049,3.017,10.199,0.0,4.897
ateez,1.504,-1.406,7.674,5.57,1.389,6.942,5.812,4.881
loveislove,1.366,3.306,7.051,2.045,2.294,1.799,3.2,4.878
cosplay,4.022,2.984,4.975,7.776,4.415,9.773,13.04,4.871
qa,1.265,7.515,3.216,3.974,8.258,2.428,3.455,4.857
void,3.418,4.207,4.664,6.046,6.112,7.367,3.836,4.833
apologist,1.829,5.003,3.995,4.275,6.283,9.402,7.169,4.821
sims,1.866,2.675,6.452,4.19,2.799,5.266,7.027,4.811
biased,1.98,-2.082,9.015,1.975,-1.895,1.861,2.208,4.796
emo,3.124,3.804,4.624,7.866,7.691,5.701,6.995,4.789
ravenclaw,1.872,3.301,6.653,-1.676,4.464,3.609,2.335,4.774
knitting,1.354,-1.627,8.4,3.713,2.315,1.815,6.456,4.774
multi,5.839,-1.003,7.593,3.73,1.968,6.416,2.994,4.769
librarian,8.142,2.014,7.413,2.469,-1.114,3.923,5.368,4.753
cartoonist,2.421,5.989,3.018,7.152,6.04,6.85,10.832,4.746
fascists,1.034,6.666,3.051,6.482,9.092,2.376,8.454,4.746
simp,4.884,4.745,4.097,6.061,7.7,5.533,8.054,4.722
comma,2.408,3.948,6.551,1.16,-1.153,1.785,1.815,4.722
liberation,1.701,3.912,4.588,9.193,6.755,4.333,0.0,4.715
rpg,2.946,8.875,2.001,4.171,7.092,2.085,7.418,4.713
marxist,1.109,6.751,1.947,7.555,12.245,6.092,11.823,4.713
matter,35.176,4.723,4.77,4.335,4.573,4.47,6.088,4.708
transgender,2.114,2.136,6.127,4.491,6.424,3.486,24.81,4.681
appreciator,1.365,6.356,3.102,4.91,5.357,6.749,6.404,4.677
//patreon,2.768,5.753,3.15,9.483,5.283,4.216,7.895,4.67
antiracist,1.018,4.085,5.383,4.389,4.104,3.62,0.0,4.664
y/o,6.285,5.011,3.21,6.754,9.64,6.645,15.299,4.647
existential,1.177,3.837,5.291,3.322,5.325,4.174,11.14,4.644
accessibility,1.341,3.988,5.448,3.749,2.337,4.58,0.0,4.611
smut,1.014,4.336,4.176,8.262,8.242,3.029,4.311,4.604
geeky,2.296,5.694,4.628,2.919,2.73,1.605,3.807,4.588
28,21.012,4.078,3.825,8.24,6.96,6.957,7.904,4.586
derby,1.032,2.188,6.195,6.494,2.024,4.166,4.235,4.562
trekkie,1.411,5.896,4.472,2.375,2.961,2.176,0.0,4.553
matching,1.032,3.916,3.218,10.283,5.061,8.927,12.705,4.484
melee,1.106,9.778,1.126,2.525,8.5,2.222,0.0,4.473
yoongi,1.238,-5.202,8.115,-1.108,0.0,5.953,3.531,4.447
pronounced,2.454,4.649,4.635,3.641,4.683,2.753,3.562,4.438
enjoyer,9.136,7.024,2.154,5.196,9.147,4.37,4.306,4.437
whovian,1.071,3.883,5.659,1.565,3.901,1.721,4.081,4.433
trash,7.264,4.074,3.817,7.996,5.608,5.58,8.424,4.427
avi,2.213,5.531,3.414,6.562,6.136,2.775,3.95,4.417
gay,38.045,7.834,1.307,5.476,11.45,3.874,7.237,4.405
scbwi,1.578,-1.659,8.366,0.0,0.0,2.335,0.0,4.374
27,25.083,3.838,3.522,7.637,7.038,7.591,8.19,4.363
nsfw,56.101,5.737,2.318,7.427,9.627,4.937,11.374,4.362
gender,6.482,1.467,3.868,14.475,8.863,6.348,24.274,4.358
cw,1.991,3.402,3.92,6.452,8.395,7.095,8.781,4.349
monsters,1.945,4.766,3.116,8.328,5.371,5.999,6.741,4.349
jew,2.033,4.501,3.757,6.044,6.166,5.136,2.15,4.337
eic,1.104,4.198,4.889,4.553,0.0,3.894,0.0,4.337
screaming,1.712,3.193,5.044,5.546,1.831,5.022,5.106,4.335
supremacy,2.5,2.234,5.579,4.692,3.76,5.405,6.993,4.325
comms,8.102,3.696,4.693,4.481,4.899,4.776,1.079,4.324
jewish,4.208,3.7,4.025,8.494,2.979,5.984,3.116,4.314
employer's,1.038,5.382,4.239,1.076,3.019,2.959,8.421,4.305
romance,5.705,-1.2,7.582,1.371,-1.092,3.445,2.298,4.301
slytherin,1.914,2.173,6.29,1.459,2.183,5.134,2.284,4.294
amwriting,2.344,2.282,5.844,2.621,2.674,6.288,1.865,4.289
frog,1.238,3.648,3.487,7.67,9.282,6.945,3.531,4.286
animator,5.918,5.181,3.044,6.701,4.942,4.878,10.339,4.281
dragon,5.477,5.425,2.911,6.22,7.248,4.149,7.182,4.276
bugs,1.018,4.436,3.915,6.035,5.131,3.62,4.294,4.272
sleepy,1.767,2.892,4.135,7.586,8.276,6.952,0.0,4.268
cartoons,3.058,4.625,3.285,7.488,3.758,5.824,7.146,4.253
robots,1.651,7.198,1.961,5.751,3.796,4.464,5.294,4.253
pic,7.356,5.703,2.867,6.302,5.254,3.841,6.536,4.252
hiatus,1.477,4.988,3.26,6.05,4.951,5.406,2.959,4.241
trek,3.464,5.832,3.787,2.58,2.111,1.95,6.309,4.227
stan,25.572,3.49,4.886,3.101,4.412,4.587,1.538,4.222
otter,1.032,6.679,1.69,5.953,11.135,3.571,8.47,4.214
pls,6.186,2.478,4.027,8.487,6.924,7.844,4.946,4.192
disabled,10.403,2.102,3.831,12.348,6.728,6.907,5.882,4.188
26,32.05,3.719,3.632,6.604,6.551,6.228,7.091,4.185
creature,1.813,3.474,3.252,9.858,6.338,5.082,16.875,4.159
co/,1.036,3.212,4.407,7.547,2.016,4.15,8.437,4.159
wip,1.085,3.286,4.668,3.088,2.888,6.793,4.029,4.155
lgbtq,14.405,4.356,4.075,4.265,3.698,3.624,5.461,4.152
writer/editor,1.117,4.575,4.757,1.5,4.676,-1.819,0.0,4.143
phd,31.084,3.961,4.928,2.102,2.487,2.667,2.39,4.138
32,7.435,4.236,3.663,5.559,4.496,4.626,8.818,4.132
29,18.231,4.009,3.233,7.444,7.563,5.121,8.151,4.127
writes,3.879,3.952,4.088,4.464,3.77,4.433,9.014,4.125
animation,5.826,4.855,3.306,4.026,4.482,6.114,5.251,4.123
millennial,4.204,3.392,4.898,3.056,3.23,3.652,5.198,4.119
theatre,6.979,3.746,4.544,4.081,2.844,3.96,1.879,4.116
anxiety,4.092,3.369,4.646,4.777,2.553,4.053,5.34,4.115
nerd,61.018,5.14,3.589,3.377,4.109,3.271,5.014,4.107
m4a,1.76,5.605,3.821,2.222,2.374,1.745,2.484,4.103
nerdy,6.717,4.848,3.56,3.991,4.51,3.657,7.158,4.099
kpop,5.558,1.219,5.901,4.12,2.255,6.741,3.932,4.099
jojo,1.102,5.176,2.26,6.589,5.688,7.245,11.898,4.091
cringe,1.299,4.209,2.876,6.45,12.062,4.256,10.094,4.085
lurker,1.379,4.482,3.974,4.86,5.302,1.336,3.17,4.08
suit,2.0,6.358,1.453,8.936,5.745,5.221,4.37,4.069
capitalism,2.584,5.611,2.635,6.052,4.851,4.041,3.383,4.061
studying,8.888,4.185,4.577,2.828,2.116,2.626,0.0,4.058
typos,1.989,3.585,5.134,1.685,3.151,2.161,0.0,4.052
lives,42.181,4.035,4.1,3.946,4.012,3.684,4.974,4.045
alt,9.123,5.263,2.475,6.244,7.328,4.443,8.144,4.045
switch,8.555,5.571,2.019,6.202,10.013,4.882,6.641,4.043
hobbyist,3.258,5.471,2.446,4.971,9.619,3.959,5.366,4.041
lewd,2.536,5.342,2.194,4.845,9.474,5.57,12.064,4.028
cohost,2.21,4.786,3.757,4.802,1.89,2.223,5.933,4.026
crying,1.976,1.203,5.294,6.501,2.114,7.149,6.636,4.018
plants,4.996,2.45,4.969,4.807,2.509,4.917,-1.143,3.977
fluffy,1.225,5.724,2.372,2.736,12.791,3.008,3.568,3.974
cat,41.601,2.865,4.892,3.303,3.39,4.075,3.362,3.973
intj,2.233,3.087,4.499,5.002,1.871,5.226,0.0,3.966
lefty,2.29,7.369,2.284,1.951,3.193,1.341,3.817,3.955
interact,2.068,3.85,2.81,9.182,5.557,5.94,4.227,3.936
shitposting,1.389,4.278,2.869,7.64,3.76,5.748,6.293,3.935
shitpost,1.238,5.088,2.414,6.316,5.063,4.465,14.122,3.932
magical,2.713,1.446,5.172,4.323,3.08,6.791,9.666,3.927
bookworm,3.431,1.316,6.582,1.14,-1.095,3.043,0.0,3.919
annoying,2.121,3.194,4.189,4.213,2.955,5.792,2.061,3.894
hella,1.469,4.126,2.713,6.464,10.666,4.599,2.975,3.884
crafter,3.172,1.086,5.811,5.106,1.976,3.292,6.889,3.874
psych,3.905,2.161,5.209,2.718,2.675,4.876,3.358,3.872
vampire,1.861,2.874,3.569,7.203,3.929,6.931,7.046,3.859
abortion,1.647,-1.386,6.2,2.035,1.268,6.339,2.654,3.852
antifa,2.456,5.419,2.299,6.367,6.805,3.001,1.78,3.85
mcu,1.919,3.22,5.062,2.038,-1.836,1.92,4.555,3.846
undergrad,1.37,4.858,2.848,4.485,2.288,5.38,9.571,3.845
eng,4.303,4.419,3.357,3.375,5.341,3.997,4.063,3.839
neuroscientist,1.449,3.444,4.928,1.157,2.163,2.119,0.0,3.827
weeb,4.999,4.85,2.724,4.357,4.388,5.529,5.246,3.823
drag,4.145,3.097,2.364,10.914,6.804,5.631,26.361,3.821
pokemon,6.406,5.658,2.203,4.446,5.707,3.739,8.187,3.812
oxford,3.403,3.178,5.294,-1.218,-1.629,1.624,1.284,3.81
pok,6.726,5.972,2.185,3.571,7.455,2.831,3.249,3.808
femboy,1.82,5.615,-1.218,7.672,16.645,3.037,14.409,3.792
weirdo,3.771,2.868,3.963,6.517,3.601,3.909,5.795,3.777
fictional,1.649,1.586,4.733,3.726,5.068,7.449,2.651,3.774
ucsb,1.175,3.338,4.593,-2.102,2.667,4.181,3.72,3.769
scream,1.737,2.942,3.633,7.074,4.811,4.596,5.032,3.767
dev,12.1,6.099,2.168,3.785,5.007,2.386,5.418,3.756
nintendo,5.47,6.757,1.837,2.348,4.392,2.919,8.789,3.756
t1d,1.572,2.571,4.542,3.198,-1.504,7.032,0.0,3.756
af,10.743,2.655,3.787,5.407,5.445,5.545,9.764,3.755
spouse,2.345,3.497,3.541,5.478,4.009,4.191,5.591,3.743
2d,2.028,4.102,2.989,4.957,3.606,5.754,6.465,3.738
narrative,1.932,4.367,3.266,4.336,3.785,3.815,0.0,3.738
punch,1.016,5.264,2.615,6.047,4.112,1.814,0.0,3.73
19,45.797,3.553,3.154,4.512,6.592,6.075,4.676,3.72
dragons,2.726,4.752,3.229,3.483,1.916,3.154,4.81,3.718
linguist,1.289,3.872,3.156,2.167,8.915,3.335,20.344,3.715
sexuality,1.633,3.129,3.203,5.13,10.874,4.137,8.029,3.714
soft,4.913,3.483,3.245,4.206,5.953,5.625,9.786,3.711
permission,1.528,1.711,4.13,5.848,6.152,6.833,5.721,3.708
wrangler,2.121,3.53,4.189,2.633,1.97,3.185,4.121,3.706
playwright,1.875,3.549,3.542,3.873,3.9,5.569,2.331,3.702
transit,2.74,6.463,2.151,3.058,3.431,1.569,4.785,3.699
swift,4.867,1.88,5.732,1.148,1.073,2.776,-1.113,3.697
awkward,3.596,3.073,4.433,2.33,4.357,2.733,2.431,3.695
hoarder,1.609,1.846,5.005,3.819,2.597,3.053,10.866,3.695
bylines,2.66,3.842,4.026,2.73,1.964,2.771,0.0,3.675
solidarity,1.39,4.617,2.449,8.036,6.012,2.209,0.0,3.674
tarot,3.582,1.393,4.103,6.393,2.916,9.602,2.44,3.654
riot,1.093,4.566,2.811,4.088,3.823,4.495,3.999,3.651
31,11.738,3.787,2.935,5.472,4.806,4.918,7.819,3.647
obsessive,1.445,3.619,3.965,2.319,-1.383,4.675,3.025,3.645
costume,1.029,1.847,4.034,4.342,0.0,9.55,16.99,3.644
comics,13.279,5.755,2.07,4.248,3.933,3.654,2.633,3.642
clown,2.676,2.665,3.009,8.975,6.246,5.738,4.9,3.638
libraries,1.923,2.101,5.138,2.033,-1.84,4.152,2.273,3.631
organizer,7.326,4.023,3.241,4.574,3.85,3.27,3.58,3.627
sociology,2.48,3.163,4.051,3.153,2.948,3.715,3.525,3.62
occasionally,10.127,4.987,2.673,3.64,4.229,2.972,4.747,3.617
elder,2.34,3.098,3.726,4.296,3.125,4.987,3.735,3.615
k-pop,1.589,2.169,5.225,2.461,1.315,1.933,2.751,3.615
anthropology,1.458,2.283,4.669,4.214,1.433,3.37,2.998,3.612
monster,4.652,4.931,2.231,5.163,4.94,3.697,9.395,3.611
sometimes,49.906,3.977,2.845,4.969,5.505,4.283,6.743,3.607
fluid,1.405,1.777,1.773,17.888,6.691,3.935,40.44,3.606
mess,5.67,2.599,4.027,4.334,4.053,3.899,8.479,3.603
mph,2.149,1.549,5.525,2.339,-1.029,2.572,6.101,3.602
incoming,1.629,3.648,4.179,2.057,1.924,1.885,2.683,3.6
jeopardy,1.153,4.123,4.176,1.454,-1.103,1.065,0.0,3.598
fiber,1.376,-1.93,5.672,3.653,-1.317,5.802,3.177,3.595
occasional,13.885,4.545,2.93,4.022,3.31,2.919,5.981,3.592
iced,1.666,2.568,5.083,2.682,0.0,1.475,0.0,3.592
filthy,1.214,4.601,2.599,2.301,6.023,5.059,7.2,3.582
thirst,1.058,5.167,2.59,3.696,2.962,2.903,4.131,3.582
garbage,1.919,4.211,2.856,4.948,3.266,4.48,2.278,3.576
tired,11.876,2.792,3.544,6.396,4.134,4.189,5.152,3.575
sonic,2.68,5.1,2.324,4.585,4.288,2.292,11.416,3.573
prev,6.245,4.491,3.643,1.61,2.007,1.77,-1.429,3.571
bug,1.464,3.653,2.268,10.301,4.995,4.195,5.971,3.57
maps,1.811,5.381,1.788,4.934,9.229,2.374,4.827,3.569
dumb,8.406,4.807,2.311,4.119,6.835,3.58,5.199,3.56
genx,1.739,1.982,5.777,0.0,0.0,1.766,0.0,3.556
