trigram,overall,he/him,she/her,they/them,he/they,she/they,multiple,pronoun list
**BIO_COUNT**,5444623,84145,120445,17905,9573,16282,2288,250638
are my own,53820,2718,3705,209,105,213,32,6982
i am a,24877,264,314,62,19,38,10,707
opinions are my,19491,1165,1439,90,48,106,10,2858
tweets are my,13116,486,695,24,15,31,4,1255
views are my,12233,596,1074,55,26,49,10,1810
official twitter account,12207,13,5,2,0,0,1,21
the official twitter,12190,18,4,1,1,0,1,25
black lives matter,9634,1156,1731,214,122,224,40,3487
at a time,9580,113,165,19,12,18,6,333
i like to,8254,224,282,44,19,51,7,627
follow me on,8241,62,84,17,13,13,2,191
to be a,8155,203,213,29,16,25,5,491
check out my,7517,164,180,37,17,35,4,437
twitter account of,7454,11,1,1,0,0,0,13
here for the,7345,108,213,21,7,13,3,365
my name is,7266,165,159,54,23,41,13,455
in the world,7243,92,98,9,4,15,4,222
born and raised,6939,78,88,5,0,5,1,177
a lot of,6921,312,369,65,34,52,10,842
i have a,6640,160,206,32,11,22,3,434
i love my,6318,73,116,23,11,14,0,237
just trying to,6317,146,187,45,19,32,1,430
r i p,6020,17,18,3,3,2,0,43
of all things,5888,137,204,17,10,12,1,381
official twitter of,5852,16,6,1,1,1,0,25
we are a,5813,1,6,1,0,0,0,8
member of the,5668,110,92,15,4,11,2,234
i love to,5559,45,81,8,10,7,0,151
twitter account for,5445,9,7,2,0,0,0,18
the university of,5257,66,65,3,4,2,0,140
trying to make,5237,134,129,16,12,15,1,307
opinions my own,5080,439,554,33,18,39,4,1087
you want to,5029,65,83,10,10,11,2,181
account of the,5016,2,3,0,1,1,2,9
just here to,4925,85,157,27,17,23,2,311
this is my,4866,111,137,27,20,24,6,325
views my own,4859,320,621,24,20,25,4,1014
lover of all,4777,106,179,16,6,8,3,318
official twitter page,4757,3,4,0,0,0,0,7
welcome to the,4707,51,55,12,4,18,2,142
just a guy,4677,128,1,0,8,0,5,142
i am the,4671,70,74,18,4,14,2,182
i want to,4652,92,139,18,8,20,4,281
just here for,4633,56,101,15,5,13,2,192
if you want,4392,107,78,18,13,9,5,230
looking for a,4317,53,40,8,3,5,2,111
one of the,4311,53,32,3,4,7,0,99
my own and,4255,244,192,18,12,11,3,480
welcome to my,4166,77,131,27,13,17,3,268
husband and father,4004,65,0,0,3,0,0,68
a good time,3980,48,100,15,6,12,3,184
and i love,3960,43,65,17,9,9,1,144
in love with,3951,70,166,20,18,38,2,314
in that order,3910,109,106,5,1,3,3,227
video games and,3808,288,153,54,28,23,7,553
father of 3,3800,44,0,1,0,0,1,46
this is the,3767,43,40,9,2,10,1,105
i am an,3764,51,67,13,7,4,3,145
of the year,3759,47,55,6,3,2,0,113
home of the,3757,5,6,2,2,1,1,17
https //www youtube,3701,47,17,4,6,1,0,75
to the fullest,3699,11,13,1,0,0,0,25
feel free to,3675,139,97,33,21,13,4,307
https //www instagram,3645,44,37,3,3,2,4,93
i am not,3635,58,74,7,6,12,1,158
my tweets are,3620,119,101,18,7,6,1,252
father of 2,3601,38,0,0,0,0,0,38
love my family,3591,14,17,0,0,0,0,31
host of the,3534,98,39,5,4,3,1,150
are not endorsements,3514,58,55,6,1,4,2,126
i believe in,3453,47,88,4,3,4,2,148
author of the,3430,105,173,6,5,8,2,299
want to be,3384,48,72,6,3,21,0,150
official account of,3335,4,6,1,1,0,1,13
life to the,3311,12,11,1,0,1,0,25
mission is to,3298,0,1,1,0,0,0,2
trying to be,3256,140,129,11,24,15,2,321
day at a,3253,38,56,8,6,5,2,115
