trigram,overall,he/him,she/her,they/them,he/they,she/they,multiple,pronoun list
are my own,98.85,323.014,307.609,116.727,109.683,130.819,139.86,278.569
black lives matter,17.695,137.382,143.717,119.52,127.442,137.575,174.825,139.125
opinions are my,35.799,138.451,119.474,50.265,50.141,65.103,43.706,114.029
views are my,22.468,70.83,89.169,30.718,27.16,30.095,43.706,72.216
tweets are my,24.09,57.757,57.703,13.404,15.669,19.039,17.483,50.072
opinions my own,9.33,52.172,45.996,18.431,18.803,23.953,17.483,43.369
views my own,8.924,38.03,51.559,13.404,20.892,15.354,17.483,40.457
a lot of,12.712,37.079,30.636,36.303,35.517,31.937,43.706,33.594
i am a,45.691,31.374,26.07,34.627,19.847,23.339,43.706,28.208
i like to,15.16,26.621,23.413,24.574,19.847,31.323,30.594,25.016
video games and,6.994,34.227,12.703,30.159,29.249,14.126,30.594,22.064
all opinions are,5.942,21.748,23.662,11.17,7.312,11.669,13.112,20.627
opinions are mine,5.806,26.264,20.839,5.585,9.401,7.37,0.0,20.069
to be a,14.978,24.125,17.684,16.197,16.714,15.354,21.853,19.59
my own and,7.815,28.998,15.941,10.053,12.535,6.756,13.112,19.151
my name is,13.345,19.609,13.201,30.159,24.026,25.181,56.818,18.154
check out my,13.806,19.49,14.945,20.665,17.758,21.496,17.483,17.436
i have a,12.196,19.015,17.103,17.872,11.491,13.512,13.112,17.316
just trying to,11.602,17.351,15.526,25.133,19.847,19.654,4.371,17.156
tweets my own,4.195,13.905,20.673,4.468,5.223,5.528,4.371,15.52
of all things,10.814,16.281,16.937,9.495,10.446,7.37,4.371,15.201
here for the,13.49,12.835,17.684,11.729,7.312,7.984,13.112,14.563
profile pic by,1.787,21.748,6.974,24.574,18.803,12.284,30.594,14.204
are human rights,1.379,19.609,11.125,12.287,7.312,9.213,26.224,13.924
rights are human,1.326,19.134,10.959,12.287,7.312,8.598,21.853,13.605
at a time,17.595,13.429,13.699,10.612,12.535,11.055,26.224,13.286
