trigram,overall,he/him,she/her,they/them,he/they,she/they,multiple,pronoun list
rights are human,1.326,14.43,8.265,9.266,5.514,6.484,16.48,10.26
are human rights,1.379,14.22,8.067,8.91,5.302,6.681,19.017,10.097
profile pic by,1.787,12.17,3.903,13.752,10.522,6.874,17.12,7.949
black lives matter,17.695,7.764,8.122,6.754,7.202,7.775,9.88,7.862
i do art,1.045,5.004,4.29,18.706,15.994,11.167,29.277,6.681
i make art,1.247,3.717,4.528,12.54,16.754,12.806,14.02,5.919
into the void,1.888,4.658,5.98,4.438,3.873,6.506,2.315,5.346
trying my best,1.646,5.054,4.64,7.126,5.711,9.328,2.656,5.284
all opinions my,1.163,4.496,6.068,3.362,4.491,2.113,3.758,5.009
all views my,1.24,3.93,6.093,2.702,3.369,1.981,3.525,4.73
opinions my own,9.33,5.592,4.93,1.975,2.015,2.567,1.874,4.648
views my own,8.924,4.262,5.778,1.502,2.341,1.721,1.959,4.534
phd student at,1.196,4.869,4.79,3.269,3.493,2.054,7.309,4.503
i like video,1.293,7.996,2.183,5.183,4.039,3.325,0.0,4.474
like video games,1.445,7.731,2.356,4.638,4.338,3.826,0.0,4.473
ask me about,1.943,3.915,4.273,5.462,4.838,7.27,2.25,4.435
phd candidate in,1.038,3.893,5.199,3.228,3.019,3.55,4.211,4.42
the oxford comma,1.089,3.274,6.175,1.026,-1.042,2.82,4.014,4.397
like to draw,1.111,3.637,3.437,7.541,2.821,10.503,7.868,4.274
of video games,1.315,6.598,2.652,3.823,4.767,2.335,3.324,4.126
i go by,1.001,2.849,2.82,8.37,14.609,6.136,21.831,4.066
dms always open,1.15,8.061,-1.155,4.857,8.175,2.67,3.801,3.99
my pronouns are,1.581,3.082,2.573,12.717,4.625,6.604,22.116,3.987
love is love,1.93,2.463,5.85,1.736,1.082,1.591,0.0,3.907
i really like,1.008,3.655,3.212,3.879,7.254,5.484,13.008,3.8
i talk about,2.143,3.605,3.758,3.388,3.412,5.732,2.04,3.779
nsfw 18 only,2.309,6.073,1.546,5.805,6.333,3.724,7.572,3.75
please do not,1.212,2.648,3.493,7.373,5.172,5.574,7.212,3.719
tweets my own,4.195,3.315,4.928,1.065,1.245,1.318,1.042,3.7
video game enthusiast,1.128,5.162,2.871,3.466,3.704,1.634,7.749,3.678
can call me,2.158,3.084,2.77,7.764,7.745,5.692,6.076,3.642
doing my best,1.484,2.322,4.196,5.646,3.52,3.725,2.945,3.602
crazy cat lady,1.174,0.0,7.072,0.0,0.0,2.616,3.723,3.602
