token,overall,he/him,she/her,they/them,he/they,she/they,multiple,pronoun list
acab,4711,0.164,0.158,0.078,0.048,0.057,0.009,0.515
queer,11466,0.079,0.151,0.11,0.041,0.066,0.009,0.456
trans,10499,0.106,0.199,0.041,0.029,0.039,0.011,0.425
icon,6792,0.147,0.124,0.066,0.038,0.037,0.009,0.422
pan,4836,0.115,0.138,0.054,0.04,0.056,0.01,0.412
adhd,4092,0.115,0.166,0.043,0.023,0.046,0.005,0.398
ffxiv,3457,0.14,0.134,0.044,0.025,0.036,0.008,0.387
ace,3750,0.086,0.157,0.063,0.019,0.047,0.007,0.38
lesbian,4725,0.005,0.23,0.055,0.008,0.071,0.009,0.379
pfp,11429,0.155,0.101,0.046,0.036,0.033,0.005,0.376
autistic,4100,0.114,0.102,0.068,0.031,0.036,0.009,0.361
header,4424,0.114,0.131,0.046,0.032,0.029,0.007,0.359
dni,4349,0.108,0.113,0.054,0.034,0.045,0.004,0.359
leftist,3538,0.174,0.093,0.036,0.026,0.021,0.007,0.357
pansexual,4214,0.094,0.114,0.054,0.027,0.046,0.014,0.348
banner,6700,0.166,0.082,0.039,0.028,0.025,0.006,0.345
binary,4125,0.014,0.015,0.213,0.04,0.045,0.018,0.345
sfw,2984,0.129,0.077,0.048,0.034,0.03,0.01,0.329
minors,8234,0.117,0.09,0.043,0.03,0.029,0.006,0.316
bisexual,6747,0.089,0.138,0.025,0.019,0.035,0.007,0.312
cosplayer,3943,0.05,0.156,0.041,0.018,0.04,0.006,0.31
witch,4108,0.023,0.19,0.032,0.013,0.045,0.004,0.308
furry,7007,0.158,0.05,0.033,0.032,0.021,0.01,0.304
bi,18063,0.102,0.127,0.02,0.018,0.029,0.004,0.301
commissions,6169,0.076,0.113,0.047,0.02,0.038,0.003,0.297
poly,3017,0.088,0.09,0.042,0.028,0.038,0.006,0.292
infj,2926,0.056,0.172,0.018,0.015,0.021,0.002,0.284
blm,40317,0.093,0.137,0.019,0.012,0.019,0.003,0.283
feminist,8701,0.031,0.215,0.011,0.002,0.015,0.003,0.277
ally,6278,0.103,0.162,0.002,0.002,0.003,0.001,0.274
minor,3189,0.077,0.095,0.025,0.024,0.033,0.003,0.257
socialist,3777,0.133,0.066,0.022,0.019,0.012,0.005,0.256
ot7,3170,0.003,0.23,0.007,0.001,0.009,0.001,0.251
illustrator,6646,0.059,0.113,0.029,0.011,0.028,0.003,0.244
blacklivesmatter,20723,0.09,0.118,0.013,0.007,0.012,0.001,0.242
closed,3067,0.054,0.097,0.037,0.018,0.032,0.002,0.241
draw,7089,0.071,0.089,0.03,0.016,0.022,0.005,0.232
pronouns,13732,0.066,0.094,0.035,0.013,0.014,0.009,0.231
librarian,4589,0.032,0.164,0.008,0.002,0.012,0.002,0.219
matter,19203,0.073,0.106,0.014,0.008,0.013,0.003,0.217
y/o,3437,0.078,0.071,0.022,0.017,0.02,0.006,0.214
enjoyer,4995,0.11,0.048,0.017,0.016,0.013,0.002,0.206
28,11973,0.061,0.082,0.026,0.012,0.02,0.003,0.205
trash,4003,0.064,0.085,0.026,0.01,0.017,0.003,0.205
gay,20918,0.122,0.029,0.018,0.02,0.012,0.003,0.204
nsfw,30811,0.09,0.052,0.024,0.017,0.015,0.005,0.202
gender,3824,0.023,0.083,0.047,0.016,0.021,0.01,0.201
fi,7488,0.072,0.081,0.021,0.009,0.014,0.002,0.199
comms,4437,0.058,0.103,0.015,0.009,0.014,0.0,0.199
animator,3253,0.081,0.069,0.022,0.009,0.015,0.004,0.199
dragon,3063,0.086,0.065,0.021,0.012,0.012,0.003,0.199
pic,4031,0.088,0.064,0.021,0.009,0.012,0.003,0.197
romance,3135,0.013,0.167,0.004,0.002,0.01,0.001,0.197
27,14234,0.058,0.076,0.024,0.012,0.022,0.003,0.196
stan,14170,0.054,0.11,0.01,0.008,0.014,0.001,0.196
pls,3381,0.038,0.089,0.028,0.012,0.023,0.002,0.193
disabled,5717,0.033,0.084,0.04,0.012,0.02,0.002,0.192
lgbtq,7963,0.068,0.09,0.014,0.006,0.011,0.002,0.191
phd,17148,0.061,0.108,0.007,0.004,0.008,0.001,0.19
nerd,33545,0.079,0.08,0.011,0.007,0.01,0.002,0.189
26,18012,0.057,0.078,0.021,0.011,0.018,0.003,0.189
theatre,3859,0.057,0.101,0.013,0.005,0.012,0.001,0.189
nerdy,3677,0.075,0.079,0.013,0.008,0.011,0.003,0.189
animation,3187,0.075,0.073,0.013,0.008,0.018,0.002,0.189
kpop,3055,0.019,0.132,0.013,0.004,0.02,0.002,0.189
