bio_count,he/him,she/her,they/them,she/they,he/they,us_day_YYYY_MM_DD
0,0,0,0,0,0,2015_01_01
0,0,0,0,0,0,2015_01_02
0,0,0,0,0,0,2015_01_03
0,0,0,0,0,0,2015_01_04
0,0,0,0,0,0,2015_01_05
0,0,0,0,0,0,2015_01_06
0,0,0,0,0,0,2015_01_07
0,0,0,0,0,0,2015_01_08
0,0,0,0,0,0,2015_01_09
0,0,0,0,0,0,2015_01_10
0,0,0,0,0,0,2015_01_11
0,0,0,0,0,0,2015_01_12
0,0,0,0,0,0,2015_01_13
0,0,0,0,0,0,2015_01_14
0,0,0,0,0,0,2015_01_15
0,0,0,0,0,0,2015_01_16
0,0,0,0,0,0,2015_01_17
0,0,0,0,0,0,2015_01_18
0,0,0,0,0,0,2015_01_19
0,0,0,0,0,0,2015_01_20
0,0,0,0,0,0,2015_01_21
0,0,0,0,0,0,2015_01_22
0,0,0,0,0,0,2015_01_23
0,0,0,0,0,0,2015_01_24
0,0,0,0,0,0,2015_01_25
0,0,0,0,0,0,2015_01_26
0,0,0,0,0,0,2015_01_27
0,0,0,0,0,0,2015_01_28
0,0,0,0,0,0,2015_01_29
0,0,0,0,0,0,2015_01_30
0,0,0,0,0,0,2015_01_31
0,0,0,0,0,0,2015_02_01
0,0,0,0,0,0,2015_02_02
0,0,0,0,0,0,2015_02_03
0,0,0,0,0,0,2015_02_04
0,0,0,0,0,0,2015_02_05
0,0,0,0,0,0,2015_02_06
0,0,0,0,0,0,2015_02_07
0,0,0,0,0,0,2015_02_08
0,0,0,0,0,0,2015_02_09
0,0,0,0,0,0,2015_02_10
0,0,0,0,0,0,2015_02_11
0,0,0,0,0,0,2015_02_12
0,0,0,0,0,0,2015_02_13
0,0,0,0,0,0,2015_02_14
0,0,0,0,0,0,2015_02_15
120699,0.8285072784364411,9.113580062800851,3.3140291137457645,3.3140291137457645,0.0,2015_02_16
205535,1.4596054200014597,9.244167660009245,2.9192108400029193,2.4326757000024326,0.48653514000048653,2015_02_17
209902,0.4764128021648198,8.575430438966755,2.3820640108240987,2.3820640108240987,0.4764128021648198,2015_02_18
208708,1.9165532705981563,5.27052149414493,2.874829905897234,2.3956915882476952,0.9582766352990781,2015_02_19
196278,1.018962899560827,8.66118464626703,2.037925799121654,3.056888698682481,0.5094814497804135,2015_02_20
182028,1.6480980947986024,7.691124442393478,2.1974641263981365,1.0987320631990682,0.5493660315995341,2015_02_21
215767,1.8538516084480017,8.805795140128009,1.8538516084480017,1.8538516084480017,0.4634629021120004,2015_02_22
194740,2.0540207456095305,5.648557050426209,2.0540207456095305,2.0540207456095305,0.5135051864023826,2015_02_23
211198,1.8939573291413745,6.155361319709467,2.367446661426718,2.367446661426718,0.4734893322853436,2015_02_24
213175,0.9381963175794535,6.5673742230561745,1.4072944763691801,2.345490793948634,0.46909815878972677,2015_02_25
223381,1.790662589924837,7.162650359699348,2.6859938848872553,1.3429969424436277,0.44766564748120924,2015_02_26
200328,1.4975440277944172,4.99181342598139,1.4975440277944172,2.495906712990695,0.0,2015_02_27
179279,2.231159254569693,7.251267577351502,3.3467388818545394,3.9045286954969627,0.0,2015_02_28
194286,1.5441153763009172,10.29410250867278,3.6029358780354737,2.573525627168195,0.5147051254336391,2015_03_01
202946,0.4927419116415204,6.4056448513397655,2.463709558207602,2.956451469849122,0.4927419116415204,2015_03_02
208484,0.9593062297346558,7.194796723009919,0.9593062297346558,1.9186124594693117,0.0,2015_03_03
213211,1.876075812223572,6.0972463897266085,1.876075812223572,2.345094765279465,0.469018953055893,2015_03_04
210902,1.422461617244028,6.164000341390788,1.896615489658704,1.422461617244028,0.474153872414676,2015_03_05
192704,0.5189305878445699,3.1135835270674193,2.0757223513782797,1.5567917635337096,1.5567917635337096,2015_03_06
177790,2.2498453231340347,7.311997300185612,3.3747679847010517,3.3747679847010517,0.0,2015_03_07
189278,1.5849702553915406,8.453174695421549,3.6982639292469277,3.169940510783081,1.0566468369276936,2015_03_08
205815,1.457619707018439,5.344605592400943,0.485873235672813,2.915239414036878,0.0,2015_03_09
211471,0.0,5.201658856297081,2.364390389225946,2.364390389225946,0.47287807784518915,2015_03_10
207168,0.965400061785604,6.757800432499228,1.448100092678406,1.930800123571208,0.965400061785604,2015_03_11
205316,0.48705410196964677,4.870541019696468,3.896432815757174,1.4611623059089405,0.48705410196964677,2015_03_12
191624,1.0437105999248528,8.349684799398823,4.174842399699411,2.609276499812132,1.0437105999248528,2015_03_13
179010,2.234512038433607,7.262164124909223,3.9103960672588123,2.7931400480420088,1.1172560192168035,2015_03_14
184812,0.5410904053849317,10.821808107698635,3.787632837694522,2.7054520269246587,0.0,2015_03_15
198684,1.50993537476596,5.536429707475187,4.52980612429788,3.01987074953192,0.0,2015_03_16
201965,1.4854058871586662,6.43675884435422,4.456217661475998,2.475676478597777,0.0,2015_03_17
207138,0.9655398816248105,6.276009230561268,5.310469348936458,2.4138497040620264,0.48276994081240526,2015_03_18
204321,0.0,6.851963332207654,3.425981666103827,2.4471297615027336,0.0,2015_03_19
185368,1.0789348754909154,7.552544128436407,3.7762720642182037,2.6973371887272886,0.5394674377454577,2015_03_20
175797,2.275351684044665,7.963730894156328,6.826055052133995,2.8441896050558313,0.5688379210111663,2015_03_21
185677,1.0771393333584667,10.771393333584665,4.308557333433867,2.1542786667169334,1.0771393333584667,2015_03_22
198093,2.019253582913076,5.04813395728269,4.543320561554421,3.533693770097883,0.0,2015_03_23
199130,2.0087380103450005,6.528398533621252,4.519660523276252,3.5152915181037514,0.5021845025862501,2015_03_24
210760,1.4234200037957867,5.693680015183147,4.27026001138736,2.3723666729929778,0.4744733345985956,2015_03_25
207321,0.9646876100346805,7.717500880277444,2.4117190250867013,3.376406635121382,0.48234380501734025,2015_03_26
192661,2.5952320396966693,8.823788934968675,5.709510487332673,3.114278447636003,1.0380928158786678,2015_03_27
181640,2.2021581149526535,6.60647434485796,4.404316229905307,3.30323717242898,0.5505395287381634,2015_03_28
190611,2.0985147761671676,9.443316492752254,3.1477721642507515,2.6231434702089595,0.0,2015_03_29
93720,2.1340162185232607,5.335040546308152,3.201024327784891,3.201024327784891,1.0670081092616304,2015_03_30
139320,3.5888601780074647,5.024404249210451,3.5888601780074647,3.5888601780074647,0.7177720356014929,2015_03_31
202363,2.9649688925347024,7.906583713425873,4.9416148208911705,3.4591303746238196,0.4941614820891171,2015_04_01
193073,2.5896940535445143,5.697326917797931,2.071755242835611,1.0358776214178056,0.5179388107089028,2015_04_02
186412,2.1457846061412353,8.046692273029633,4.82801536381778,3.755123060747162,1.0728923030706177,2015_04_03
188319,3.7170970534040646,7.965207971580138,3.7170970534040646,2.1240554590880367,1.0620277295440184,2015_04_04
183243,3.8200640679316535,11.46019220379496,3.274340629655703,2.728617191379753,1.091446876551901,2015_04_05
210167,3.330684646019594,4.28230883059662,2.8548725537310804,2.379060461442567,0.4758120922885134,2015_04_06
203448,4.915260902048681,7.8644174432778895,4.423734811843812,2.4576304510243405,0.9830521804097362,2015_04_07
204311,3.426149350744698,5.383948979741668,4.405049165243184,3.426149350744698,0.4894499072492426,2015_04_08
199679,1.50241137024925,8.012860641329334,4.50723411074775,3.5056265305815835,0.5008037900830834,2015_04_09
188246,2.124879147498486,4.780978081871593,3.7185385081223505,2.124879147498486,1.062439573749243,2015_04_10
168818,2.961769479557867,5.331185063204161,5.331185063204161,2.961769479557867,1.1847077918231468,2015_04_11
183068,3.2774706666375337,6.5549413332750674,4.916205999956301,1.6387353333187669,0.5462451111062556,2015_04_12
197289,0.5068706314087456,8.616800733948674,5.068706314087455,3.041223788452473,0.5068706314087456,2015_04_13
199365,2.006370225465854,8.025480901863416,7.02229578913049,2.006370225465854,1.5047776690993906,2015_04_14
202101,1.9792084155941831,8.906437870173823,4.453218935086912,1.9792084155941831,0.4948021038985458,2015_04_15
195028,2.5637344381319607,5.640215763890313,5.640215763890313,3.589228213384745,1.0254937752527842,2015_04_16
183616,2.723074241896131,3.2676890902753573,5.990763332171488,3.2676890902753573,2.178459393516905,2015_04_17
167576,2.9837208192103883,7.757674129947009,5.967441638420777,2.9837208192103883,1.7902324915262329,2015_04_18
182985,2.7324644096510644,8.743886110883405,5.464928819302129,2.7324644096510644,1.6394786457906385,2015_04_19
198110,2.523850386149109,8.076321235677149,5.047700772298218,4.0381606178385745,0.0,2015_04_20
200030,2.9995500674898765,7.498875168724691,4.999250112483128,1.999700044993251,0.49992501124831273,2015_04_21
203479,2.457256031334929,8.354670506538758,5.405963268936843,3.4401584438689006,1.4743536188009574,2015_04_22
200736,1.9926669854933843,8.96700143472023,4.483500717360115,2.9890004782400763,0.49816674637334607,2015_04_23
189146,1.5860763642900193,10.573842428600129,5.286921214300064,2.643460607150032,0.0,2015_04_24
172190,3.484522910738138,13.938091642952552,5.226784366107207,2.903769092281782,0.5807538184563563,2015_04_25
