token,overall,he/him,she/her,they/them,he/they,she/they,multiple,pronoun list
and,1871.059,2598.413,1950.285,2171.832,2270.552,1757.253,3155.172,2194.547
of,1426.169,1816.675,1542.779,1269.824,1265.349,1136.002,1495.69,1577.775
i,999.551,1563.359,1318.373,1574.759,1584.807,1426.123,1853.448,1441.069
a,1236.558,1424.088,1244.371,1352.735,1418.314,1182.519,1681.034,1319.114
the,1530.284,1503.908,1260.016,1159.09,1131.113,1027.666,1349.138,1315.495
my,783.002,1257.342,1261.589,1030.549,985.432,1027.666,1068.966,1216.126
to,1136.295,1145.902,1006.225,984.92,977.107,888.726,1163.793,1044.308
in,895.397,978.209,925.187,774.581,780.437,747.337,883.621,914.759
for,842.683,943.984,766.423,765.678,808.533,639.001,926.724,820.798
are,347.08,690.313,594.332,396.194,407.908,369.078,551.724,590.249
is,619.775,588.11,533.739,569.25,566.077,530.665,913.793,559.075
on,470.038,648.745,482.915,525.291,559.834,505.57,719.828,548.219
by,226.958,562.293,379.776,703.355,751.301,500.673,866.379,490.721
at,347.778,605.519,429.359,323.855,354.839,296.242,370.69,468.931
writer,139.532,423.851,519.585,402.871,330.905,411.923,409.483,463.881
artist,157.166,385.836,388.716,797.396,724.246,713.062,784.483,454.497
own,177.358,517.409,500.132,209.226,220.604,224.018,228.448,454.019
blm,74.049,442.207,455.765,427.355,518.21,472.518,495.69,453.025
me,401.492,441.378,402.043,555.339,498.439,484.147,685.345,437.836
18,116.666,459.972,259.834,652.162,796.046,514.751,676.724,395.965
with,393.037,405.258,388.716,373.379,340.271,358.061,530.172,390.636
all,364.929,399.218,398.566,323.299,285.12,273.595,413.793,381.093
you,425.42,379.323,359.331,393.412,371.488,331.742,482.759,368.289
not,287.845,406.324,343.686,366.702,337.149,311.544,435.345,364.87
just,301.681,411.18,308.175,400.645,462.019,354.389,517.241,360.178
be,278.276,358.716,305.361,301.041,350.676,301.138,344.828,324.788
fan,257.002,399.929,319.515,188.637,192.508,185.457,275.862,323.198
love,357.722,278.423,355.854,281.008,267.43,295.63,349.138,317.154
art,101.754,281.62,264.8,540.315,516.129,468.846,599.138,316.08
http,269.784,414.495,236.574,333.315,343.392,262.578,336.207,309.917
enthusiast,129.109,334.676,295.759,264.871,265.349,243.604,245.69,301.606
lover,178.501,248.934,370.174,150.799,157.128,195.25,155.172,292.301
mom,169.881,11.606,554.847,60.653,14.568,211.164,94.828,289.916
like,179.357,327.807,251.639,291.581,323.621,293.794,357.759,286.536
opinions,89.597,349.242,285.163,134.661,125.911,151.181,120.69,279.617
about,156.253,291.45,285.163,242.613,232.05,214.225,185.345,276.674
i'm,186.788,296.068,222.336,361.137,336.108,252.173,603.448,266.813
com,226.1,319.754,224.82,258.194,273.673,257.681,185.345,262.717
21,75.616,221.104,222.75,371.71,434.964,389.889,310.345,252.617
nerd,61.611,315.727,220.846,207.0,251.821,201.371,310.345,252.458
games,82.505,408.219,145.52,219.242,295.525,207.492,353.448,250.669
22,78.207,209.143,229.455,369.484,380.853,383.156,301.724,249.078
nsfw,56.59,326.622,132.276,417.895,548.387,277.88,646.552,248.045
black,71.808,228.446,249.487,263.758,291.363,266.25,331.897,246.891
but,166.425,249.289,236.739,253.742,235.172,233.199,452.586,243.869
23,71.572,203.932,211.493,360.024,387.097,378.259,310.345,238.024
music,191.093,314.898,190.633,201.436,298.647,166.483,181.034,235.599
no,191.082,226.196,212.983,264.315,309.053,226.466,340.517,226.811
account,145.534,214.709,220.846,263.202,295.525,224.63,409.483,226.652
it,256.277,259.948,207.023,178.065,226.847,175.664,206.897,221.443
20,70.014,198.247,191.461,323.855,400.624,331.13,262.931,220.926
things,125.213,237.92,217.452,187.524,195.63,181.785,297.414,219.773
here,174.254,225.722,208.347,230.928,242.456,218.509,293.103,218.54
bi,33.176,217.314,189.64,205.331,347.555,321.337,349.138,216.115
/,156.918,231.407,180.369,284.347,305.931,258.906,284.483,215.796
your,257.25,215.893,198.662,229.258,241.415,187.293,250.0,208.003
queer,21.059,107.414,143.285,700.017,483.871,465.173,443.966,207.724
gamer,85.907,302.345,148.252,146.347,195.63,164.035,237.069,203.51
that,229.57,240.407,185.998,177.508,198.751,164.647,181.034,202.714
24,59.391,166.272,184.922,335.541,320.499,285.225,293.103,202.118
student,84.184,196.352,215.135,163.04,198.751,178.724,172.414,201.72
blacklivesmatter,38.061,220.867,202.636,145.234,158.169,157.302,129.31,199.334
or,142.796,188.299,143.616,265.428,227.888,167.095,2982.759,198.261
i’m,146.177,167.338,198.414,224.807,226.847,239.931,262.931,194.245
do,154.642,200.616,171.843,243.17,218.522,208.716,245.69,191.461
views,62.879,205.353,222.998,71.226,81.165,81.405,86.207,190.348
twitch,82.566,246.802,140.967,179.734,231.009,200.147,211.207,187.206
only,129.221,209.261,141.795,280.452,295.525,213.0,387.931,187.127
life,295.411,176.22,210.83,143.565,97.815,143.836,193.966,185.576
25,52.861,157.508,161.165,303.266,290.323,268.087,327.586,183.508
//,68.008,145.31,186.494,244.282,245.578,242.38,193.966,182.753
tweets,94.734,217.906,193.116,84.581,91.571,91.811,116.379,182.514
sometimes,50.079,199.55,142.871,250.403,275.754,214.225,340.517,181.123
who,161.15,209.261,157.109,172.5,218.522,140.776,301.724,178.339
trans,19.283,131.573,173.085,237.049,319.459,251.561,482.759,177.266
this,153.241,181.549,168.697,190.307,184.183,175.664,245.69,176.311
19,50.136,168.167,148.666,209.226,308.012,281.552,224.138,174.959
an,163.444,196.234,159.261,197.54,165.453,142.612,232.759,174.244
video,68.398,277.12,102.311,156.363,196.67,138.94,185.345,171.619
time,149.526,190.431,161.248,167.492,173.777,148.733,206.897,171.579
pfp,20.991,209.261,95.772,291.581,433.923,228.914,267.241,171.023
lives,42.231,170.298,172.836,166.936,168.574,155.466,206.897,170.585
gay,38.42,302.819,50.162,209.782,445.369,148.121,271.552,169.909
cat,42.536,121.506,207.188,139.669,143.6,176.276,142.241,168.557
matter,35.27,166.153,167.87,153.581,161.29,158.526,211.207,165.814
https,171.518,211.511,129.793,186.411,180.021,131.595,202.586,163.985
from,188.356,206.656,140.802,140.782,157.128,129.147,198.276,163.309
make,123.742,189.247,131.2,173.057,176.899,149.957,224.138,157.503
if,134.946,171.956,135.835,200.879,177.94,157.914,310.345,157.265
author,84.515,133.112,187.322,88.476,75.963,110.173,125.0,152.215
have,153.781,165.798,144.858,151.355,145.682,134.655,189.655,152.135
game,55.912,263.382,74.829,147.46,193.548,96.095,193.966,150.346
out,144.917,162.719,139.395,137.444,162.331,146.897,241.379,149.391
open,58.796,194.931,91.467,209.226,300.728,175.052,193.966,148.994
editor,47.821,150.64,158.35,94.597,74.922,83.854,60.345,142.274
gmail,95.483,170.417,110.92,168.049,196.67,168.931,107.759,141.995
